X	Y	ISO3	M49	areaName	UN_Member	Country_Profile
66.02688198	33.83160199	AFG	4	Afghanistan	1	1
20.06660928	41.13897007	ALB	8	Albania	1	1
21.47585697	-80.40897662	ATA	10	Antarctica	0	1
2.678164227	28.15940032	DZA	12	Algeria	1	1
-170.7187269	-14.30587306	ASM	16	American Samoa	0	1
1.576257417	42.54548611	AND	20	Andorra	1	1
17.57817062	-12.33724746	AGO	24	Angola	1	1
-61.7999755	17.07761471	ATG	28	Antigua and Barbuda	1	1
50.01064725	40.39229544	AZE	31	Azerbaijan	1	1
-65.14563274	-35.19446255	ARG	32	Argentina	1	1
134.3499412	-25.57717202	AUS	36	Australia	1	1
14.14172472	47.58704857	AUT	40	Austria	1	1
-78.05111663	24.69546597	BHS	44	Bahamas	1	1
50.5490754	26.04407747	BHR	48	Bahrain	1	1
89.17660788	22.86961622	BGD	50	Bangladesh	1	1
44.93839317	40.29499741	ARM	51	Armenia	1	1
-59.5346489	13.13648273	BRB	52	Barbados	1	1
4.660976456	50.64104975	BEL	56	Belgium	1	1
-64.78155012	32.27881922	BMU	60	Bermuda	0	1
90.45098484	27.39598568	BTN	64	Bhutan	1	1
-64.66224284	-16.71273412	BOL	68	Bolivia (Plurinational State of)	1	1
17.78584332	44.16845548	BIH	70	Bosnia and Herzegovina	1	1
23.81380223	-22.18810073	BWA	72	Botswana	1	1
3.410732868	-54.43295905	BVT	74	Bouvet Island	0	1
-53.08432878	-10.77668561	BRA	76	Brazil	1	1
-88.70199554	17.19965901	BLZ	84	Belize	1	1
72.38715553	-7.299281071	IOT	86	British Indian Ocean Territory	0	1
160.1584117	-9.622391719	SLB	90	Solomon Islands	1	1
-64.63294223	18.42256578	VGB	92	British Virgin Islands	0	1
114.6288563	4.49736984	BRN	96	Brunei Darussalam	1	1
25.23763153	42.75731323	BGR	100	Bulgaria	1	1
96.51752295	21.19332882	MMR	104	Myanmar	1	1
29.89080992	-3.366387428	BDI	108	Burundi	1	1
28.04940161	53.54193075	BLR	112	Belarus	1	1
104.922836	12.71163737	KHM	116	Cambodia	1	1
12.7419827	5.692387031	CMR	120	Cameroon	1	1
-101.6575058	57.72360191	CAN	124	Canada	1	1
-23.63544151	15.07791834	CPV	132	Cabo Verde	1	1
-81.16740559	19.32266656	CYM	136	Cayman Islands	0	1
20.93559492	7.003720791	CAF	140	Central African Republic	1	1
80.70489654	7.614693343	LKA	144	Sri Lanka	1	1
18.66618401	15.36279341	TCD	148	Chad	1	1
-71.23029019	-35.2652885	CHL	152	Chile	1	1
104.1403375	32.30955217	CHN	156	China	1	1
105.6426067	-10.4882473	CXR	162	Christmas Island	0	1
96.82633757	-12.18600682	CCK	166	Cocos (Keeling) Islands	0	1
-73.07446751	3.888209046	COL	170	Colombia	1	1
43.34234565	-11.66121732	COM	174	Comoros	1	1
45.14015057	-12.82217691	MYT	175	Mayotte	0	1
15.22052612	-0.840544119	COG	178	Congo	1	1
23.65496507	-2.877154732	COD	180	Democratic Republic of the Congo	1	1
-159.7711391	-21.22696458	COK	184	Cook Islands	0	1
-84.19712782	9.970998683	CRI	188	Costa Rica	1	1
17.95874553	45.45172212	HRV	191	Croatia	1	1
-79.54460144	22.10030366	CUB	192	Cuba	1	1
33.22285964	35.05659437	CYP	196	Cyprus	1	1
15.33151382	49.73913871	CZE	203	Czechia	1	1
2.339933594	9.65401646	BEN	204	Benin	1	1
9.326571283	56.03829721	DNK	208	Denmark	1	1
-61.3493756	15.43391378	DMA	212	Dominica	1	1
-70.49847576	18.89832088	DOM	214	Dominican Republic	1	1
-78.37005241	-1.447785891	ECU	218	Ecuador	1	1
-88.86862995	13.73603564	SLV	222	El Salvador	1	1
10.46535826	1.565792376	GNQ	226	Equatorial Guinea	1	1
39.63505296	8.631223181	ETH	231	Ethiopia	1	1
38.11074289	16.12894644	ERI	232	Eritrea	1	1
25.84093481	58.68487172	EST	233	Estonia	1	1
-7.122044325	62.21228119	FRO	234	Faroe Islands	0	1
-58.75246778	-51.74562601	FLK	238	Falkland Islands (Malvinas)	0	1
-36.90662765	-54.20736749	SGS	239	South Georgia and the South Sandwich Islands	0	1
177.9660884	-17.83301566	FJI	242	Fiji	1	1
23.308447	61.91586738	FIN	246	Finland	1	1
19.80945969	60.1544901	ALA	248	Åland Islands	0	1
2.457288129	46.62660861	FRA	250	France	1	1
-53.23619089	3.922673437	GUF	254	French Guiana	0	1
-149.4052367	-17.67709294	PYF	258	French Polynesia	0	1
69.64849091	-49.6068576	ATF	260	French Southern Territories	0	1
42.18274707	11.56004161	DJI	262	Djibouti	1	1
11.78727747	-0.60687619	GAB	266	Gabon	1	1
43.3713615	42.04813028	GEO	268	Georgia	1	1
-15.39944785	13.45295927	GMB	270	Gambia	1	1
35.25694122	31.94347933	PSE	275	State of Palestine	0	1
10.3806066	51.08862743	DEU	276	Germany	1	1
-1.205623522	7.964825185	GHA	288	Ghana	1	1
-5.347561686	36.13895036	GIB	292	Gibraltar	0	1
-157.5643005	1.768837732	KIR	296	Kiribati	1	1
22.58307827	39.47301873	GRC	300	Greece	1	1
-41.39371316	74.75625681	GRL	304	Greenland	0	1
-61.68248568	12.11238395	GRD	308	Grenada	1	1
-61.64762115	16.14416917	GLP	312	Guadeloupe	0	1
144.7029305	13.35485404	GUM	316	Guam	0	1
-91.2312746	15.00273719	GTM	320	Guatemala	1	1
-11.28173419	11.00210343	GIN	324	Guinea	1	1
-58.97322037	4.788012784	GUY	328	Guyana	1	1
-72.33640958	18.40426539	HTI	332	Haiti	1	1
73.52633626	-53.09106147	HMD	334	Heard Island and McDonald Islands	0	1
12.45315803	41.90343751	VAT	336	Holy See	0	1
-86.59974381	14.82243161	HND	340	Honduras	1	1
114.0266445	22.41749934	HKG	344	China, Hong Kong Special Administrative Region	0	1
19.41221519	47.1651448	HUN	348	Hungary	1	1
-19.02116966	64.79134763	ISL	352	Iceland	1	1
79.3608464	22.34642074	IND	356	India	1	1
113.9174	-0.994582204	IDN	360	Indonesia	1	1
54.19766348	32.74370885	IRN	364	Iran (Islamic Republic of)	1	1
43.76606267	33.05013795	IRQ	368	Iraq	1	1
-7.121425272	53.25274054	IRL	372	Ireland	1	1
34.62277992	31.06164552	ISR	376	Israel	1	1
12.57022427	42.79917282	ITA	380	Italy	1	1
-5.552690016	7.62211586	CIV	384	Côte d'Ivoire	1	1
-77.31068409	18.15616857	JAM	388	Jamaica	1	1
139.2716103	36.6554539	JPN	392	Japan	1	1
66.65359159	48.01963494	KAZ	398	Kazakhstan	1	1
37.13024774	30.65365973	JOR	400	Jordan	1	1
37.86096816	0.534797278	KEN	404	Kenya	1	1
127.1803633	40.1462645	PRK	408	Democratic People's Republic of Korea	1	1
127.8610254	36.45201023	KOR	410	Republic of Korea	1	1
47.49305029	29.53949468	KWT	414	Kuwait	1	1
74.52324839	41.46204516	KGZ	417	Kyrgyzstan	1	1
101.9901968	20.27482773	LAO	418	Lao People's Democratic Republic	1	1
35.89391711	33.92152458	LBN	422	Lebanon	1	1
28.25362195	-29.58041814	LSO	426	Lesotho	1	1
26.42461876	56.64196636	LVA	428	Latvia	1	1
-9.311879038	6.448381009	LBR	430	Liberia	1	1
18.0295985	27.04042819	LBY	434	Libya	1	1
9.552985019	47.14167005	LIE	438	Liechtenstein	1	1
23.90517807	55.33680309	LTU	440	Lithuania	1	1
6.092656563	49.77679538	LUX	442	Luxembourg	1	1
113.5665388	22.1237259	MAC	446	China, Macao Special Administrative Region	0	1
46.6982339	-19.38514785	MDG	450	Madagascar	1	1
33.4884625	-13.40819859	MWI	454	Malawi	1	1
116.8346314	5.452415309	MYS	458	Malaysia	1	1
73.09672546	-0.614385021	MDV	462	Maldives	1	1
-3.522016039	17.35311254	MLI	466	Mali	1	1
14.44617519	35.89194275	MLT	470	Malta	1	1
-60.91544135	14.56086108	MTQ	474	Martinique	0	1
-10.33187259	20.26089546	MRT	478	Mauritania	1	1
57.568022	-20.28581998	MUS	480	Mauritius	1	1
-102.5148166	23.93378032	MEX	484	Mexico	1	1
7.424214814	43.73532918	MCO	492	Monaco	1	1
103.0728057	46.83892054	MNG	496	Mongolia	1	1
28.4650624	47.20236795	MDA	498	Republic of Moldova	1	1
19.25214024	42.78717043	MNE	499	Montenegro	1	1
-62.19261223	16.73558313	MSR	500	Montserrat	0	1
-6.281942841	31.8440131	MAR	504	Morocco	1	1
38.18479941	-14.27963886	MOZ	508	Mozambique	1	1
57.87743482	21.98805614	OMN	512	Oman	1	1
17.21907885	-22.13817068	NAM	516	Namibia	1	1
166.92313	-0.528742623	NRU	520	Nauru	1	1
83.94678863	28.25866332	NPL	524	Nepal	1	1
5.331480568	51.86728884	NLD	528	Netherlands	1	1
-68.30676179	12.22720635	ANT	530	Netherlands Antilles	0	1
-68.95033464	12.15058042	CUW	531	Curaçao	0	1
-69.97050586	12.50878756	ABW	533	Aruba	0	1
-63.06198692	18.03926508	SXM	534	Sint Maarten (Dutch part)	0	1
165.5067368	-21.41742531	NCL	540	New Caledonia	0	1
167.0679779	-15.34445547	VUT	548	Vanuatu	1	1
170.4755673	-43.98721568	NZL	554	New Zealand	1	1
-85.03060315	12.84210839	NIC	558	Nicaragua	1	1
9.400167877	17.42143036	NER	562	Niger	1	1
8.097363256	9.585789025	NGA	566	Nigeria	1	1
-169.8601693	-19.05000475	NIU	570	Niue	0	1
167.9515548	-29.03230018	NFK	574	Norfolk Island	0	1
11.47846389	61.34311134	NOR	578	Norway	1	1
145.7582114	15.19099517	MNP	580	Northern Mariana Islands	0	1
-162.4343752	5.874443968	UMI	581	United States Minor Outlying Islands	0	1
158.225216	6.880670092	FSM	583	Micronesia (Federated States of)	1	1
171.0839119	7.110213497	MHL	584	Marshall Islands	1	1
134.5733878	7.502307591	PLW	585	Palau	1	1
68.80479684	29.36491634	PAK	586	Pakistan	1	1
-81.26616623	8.450965746	PAN	591	Panama	1	1
145.8587761	-6.756057077	PNG	598	Papua New Guinea	1	1
-60.54854225	-21.70216237	PRY	600	Paraguay	1	1
-71.82093277	-13.58939705	PER	604	Peru	1	1
120.8601418	14.16591706	PHL	608	Philippines	1	1
-128.3225873	-24.37538456	PCN	612	Pitcairn	0	1
19.40660158	52.1226733	POL	616	Poland	1	1
-7.961599811	39.68509315	PRT	620	Portugal	1	1
-14.40182514	12.11760394	GNB	624	Guinea-Bissau	1	1
125.9451052	-8.797497247	TLS	626	Timor-Leste	1	1
-66.47591017	18.22753799	PRI	630	Puerto Rico	0	1
51.19152467	25.28355379	QAT	634	Qatar	1	1
55.53171398	-21.13183266	REU	638	Réunion	0	1
24.98481009	45.83893563	ROU	642	Romania	1	1
99.01404926	61.61899849	RUS	643	Russian Federation	1	1
29.92310194	-1.999842114	RWA	646	Rwanda	1	1
-62.83173536	17.89513362	BLM	652	Saint Barthélemy	0	1
-5.705752501	-15.96503946	SHN	654	Saint Helena	0	1
-62.76628613	17.33994219	KNA	659	Saint Kitts and Nevis	1	1
-63.05651612	18.21525315	AIA	660	Anguilla	0	1
-60.96529553	13.89405601	LCA	662	Saint Lucia	1	1
-63.04505461	18.0882685	MAF	663	Saint Martin (French Part)	0	1
-56.33682442	46.85812735	SPM	666	Saint Pierre and Miquelon	0	1
-61.19024321	13.24627968	VCT	670	Saint Vincent and the Grenadines	1	1
12.46329038	43.93841766	SMR	674	San Marino	1	1
6.609772265	0.241554875	STP	678	Sao Tome and Principe	1	1
44.54763347	24.12594211	SAU	682	Saudi Arabia	1	1
-14.46636926	14.35920905	SEN	686	Senegal	1	1
20.805876	44.03145697	SRB	688	Serbia	1	1
55.46561591	-4.678053059	SYC	690	Seychelles	1	1
-11.78306584	8.568604164	SLE	694	Sierra Leone	1	1
103.8107883	1.361009155	SGP	702	Singapore	1	1
19.48495604	48.70741446	SVK	703	Slovakia	1	1
105.802499	10.09643079	VNM	704	Viet Nam	1	1
14.82209486	46.11958061	SVN	705	Slovenia	1	1
46.20367477	4.406485729	SOM	706	Somalia	1	1
24.67184355	-29.99957544	ZAF	710	South Africa	1	1
29.86909584	-19.00075492	ZWE	716	Zimbabwe	1	1
-3.554078296	40.39211472	ESP	724	Spain	1	1
30.32618773	7.290839152	SSD	728	South Sudan	1	1
-13.13515523	24.66265342	ESH	732	Western Sahara	0	1
29.95650159	16.02643066	SDN	729	Sudan	0	1
-55.90626394	4.132603197	SUR	740	Suriname	1	1
13.38071013	78.82894131	SJM	744	Svalbard and Jan Mayen Islands	0	1
31.50149288	-26.56471011	SWZ	748	Eswatini	1	1
14.3775338	60.60103109	SWE	752	Sweden	1	1
8.223158	46.96617097	CHE	756	Switzerland	1	1
38.50466565	35.01676176	SYR	760	Syrian Arab Republic	1	1
69.294998	38.43069666	TJK	762	Tajikistan	1	1
101.0202951	15.13089239	THA	764	Thailand	1	1
0.97835765	8.532096072	TGO	768	Togo	1	1
-171.8154473	-9.214545558	TKL	772	Tokelau	0	1
-175.1959991	-21.19511329	TON	776	Tonga	1	1
-61.29389504	10.41877263	TTO	780	Trinidad and Tobago	1	1
53.98279159	23.43322219	ARE	784	United Arab Emirates	1	1
9.572737411	34.11439971	TUN	788	Tunisia	1	1
35.42890329	38.9899684	TUR	792	Turkey	1	1
58.9787665	40.0912346	TKM	795	Turkmenistan	1	1
-71.745121	21.80780585	TCA	796	Turks and Caicos Islands	0	1
178.6679611	-7.460048071	TUV	798	Tuvalu	1	1
32.39100438	1.279557331	UGA	800	Uganda	1	1
31.40270802	49.00735945	UKR	804	Ukraine	1	1
21.7007909	41.60048068	MKD	807	North Macedonia	1	1
29.77468534	26.57438204	EGY	818	Egypt	1	1
-2.23830539	53.27691757	GBR	826	United Kingdom of Great Britain and Northern Ireland	1	1
-2.200712402	49.71561166	GGY	831	Guernsey	0	1
-2.136773508	49.22353354	JEY	832	Jersey	0	1
-4.538190305	54.22880901	IMN	833	Isle of Man	0	1
34.80521182	-6.265332606	TZA	834	United Republic of Tanzania	1	1
-99.13830311	39.5277871	USA	840	United States of America	1	1
-64.76960113	17.73297693	VIR	850	United States Virgin Islands	0	1
-1.742843829	12.27491081	BFA	854	Burkina Faso	1	1
-56.01387025	-32.8002838	URY	858	Uruguay	1	1
63.11944558	41.77560518	UZB	860	Uzbekistan	1	1
-66.15642084	7.121324748	VEN	862	Venezuela (Bolivarian Republic of)	1	1
-176.2034788	-13.28471201	WLF	876	Wallis and Futuna Islands	0	1
-172.4430749	-13.61541469	WSM	882	Samoa	1	1
45.22389143	15.22242099	YEM	887	Yemen	1	1
27.850329	-14.59701056	ZMB	894	Zambia	1	1
