series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
AG_LND_FRSTCHG	Forest area net change rate (%)	1	World	2005.0	-0.11631					FAO, Global Forest Resources Assessment	Aggregate, may include official, semi-official, estimated or calculated data;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				1			Region					
AG_LND_FRSTCHG	Forest area net change rate (%)	1	World	2010.0	-0.08773					FAO, Global Forest Resources Assessment	Aggregate, may include official, semi-official, estimated or calculated data;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				1			Region					
AG_LND_FRSTCHG	Forest area net change rate (%)	1	World	2015.0	-0.08546					FAO, Global Forest Resources Assessment	Aggregate, may include official, semi-official, estimated or calculated data;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				1			Region					
AG_LND_FRSTCHG	Forest area net change rate (%)	100	Bulgaria	2005.0	1.58454					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	100	Bulgaria	2010.0	0.46673					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	100	Bulgaria	2015.0	0.45608					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	104	Myanmar	2005.0	-0.90353					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	104	Myanmar	2010.0	-0.94691					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	104	Myanmar	2015.0	-1.78209					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	108	Burundi	2005.0	-1.77938					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	108	Burundi	2010.0	6.92725					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	108	Burundi	2015.0	1.75546					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	11	Western Africa	2005.0	-1.21945					FAO, Global Forest Resources Assessment	Aggregate, may include official, semi-official, estimated or calculated data;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				4	202	Sub-Saharan Africa	Region					
AG_LND_FRSTCHG	Forest area net change rate (%)	11	Western Africa	2010.0	-1.28476					FAO, Global Forest Resources Assessment	Aggregate, may include official, semi-official, estimated or calculated data;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				4	202	Sub-Saharan Africa	Region					
AG_LND_FRSTCHG	Forest area net change rate (%)	11	Western Africa	2015.0	-1.23224					FAO, Global Forest Resources Assessment	Aggregate, may include official, semi-official, estimated or calculated data;Data nature not available	_X	Data nature not available	PT	Percentage	G	Global				4	202	Sub-Saharan Africa	Region					
AG_LND_FRSTCHG	Forest area net change rate (%)	112	Belarus	2005.0	0.39098					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	112	Belarus	2010.0	0.23127					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	112	Belarus	2015.0	0.2321					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	116	Cambodia	2005.0	-1.45338					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	116	Cambodia	2010.0	-1.21645					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
AG_LND_FRSTCHG	Forest area net change rate (%)	116	Cambodia	2015.0	-1.29526					FAO, Global Forest Resources Assessment	Official country data submitted to FAO	C	Country data	PT	Percentage	G	Global				4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1
