series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
SH_STA_MMR	Maternal mortality ratio	1	World	1			Region						2017	211.0					Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 5924		_X	Data nature not available	PER_100000_LIVE_BIRTHS	Per 100,000 live births	G	Global			
SH_STA_MMR	Maternal mortality ratio	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	2017	10.0		14.0	6.0		Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 5188		_X	Data nature not available	PER_100000_LIVE_BIRTHS	Per 100,000 live births	G	Global			
SH_STA_MMR	Maternal mortality ratio	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	2017	250.0		351.0	182.0		Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 5275		_X	Data nature not available	PER_100000_LIVE_BIRTHS	Per 100,000 live births	G	Global			
SH_STA_MMR	Maternal mortality ratio	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	2017	548.0		728.0	413.0		Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 5190		_X	Data nature not available	PER_100000_LIVE_BIRTHS	Per 100,000 live births	G	Global			
SH_STA_MMR	Maternal mortality ratio	11	Western Africa	4	202	Sub-Saharan Africa	Region						2017	716.0					Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 5852		_X	Data nature not available	PER_100000_LIVE_BIRTHS	Per 100,000 live births	G	Global			
SH_STA_MMR	Maternal mortality ratio	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	2017	2.0		4.0	1.0		Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 5178		_X	Data nature not available	PER_100000_LIVE_BIRTHS	Per 100,000 live births	G	Global			
SH_STA_MMR	Maternal mortality ratio	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	2017	160.0		221.0	116.0		Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 5192		_X	Data nature not available	PER_100000_LIVE_BIRTHS	Per 100,000 live births	G	Global			
SH_STA_MMR	Maternal mortality ratio	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	2017	112.0		206.0	64.0		Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 5166		_X	Data nature not available	PER_100000_LIVE_BIRTHS	Per 100,000 live births	G	Global			
SH_STA_MMR	Maternal mortality ratio	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	2017	529.0		790.0	376.0		Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 5193		_X	Data nature not available	PER_100000_LIVE_BIRTHS	Per 100,000 live births	G	Global			
SH_STA_MMR	Maternal mortality ratio	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	2017	10.0		14.0	8.0		Trends in maternal mortality: 2000 to 2017: estimates by WHO, UNICEF, UNFPA, World Bank Group and the United Nations Population Division. Geneva: World Health Organization; 5194		_X	Data nature not available	PER_100000_LIVE_BIRTHS	Per 100,000 live births	G	Global			
