series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	year	value	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	value_detail	lowerBound_detail	upperBound_detail
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			2019	83.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 74 local breeds, 4% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1			2019	0.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 7 local breeds, 43% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			2019	96.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 25 local breeds, 4% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	144	Sri Lanka	4	34	Southern Asia	Country	80.70489654	7.614693343	LKA	1	1			2019	40.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 22 local breeds, 55% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	150	Europe	2	1	World	Region								2019	85.60273					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 3161 local breeds, 35% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	151	Eastern Europe	3	150	Europe	Region								2019	82.11382					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 807 local breeds, 54% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			2019	20.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 58 local breeds, 74% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	154	Northern Europe	3	150	Europe	Region								2019	87.5					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 573 local breeds, 48% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	155	Western Europe	3	150	Europe	Region								2019	90.39352					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 1092 local breeds, 21% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			2019	11.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 627 local breeds, 97% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			2019	25.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 27 local breeds, 26% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	18	Southern Africa	4	202	Sub-Saharan Africa	Region								2019	66.66667					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 132 local breeds, 73% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			2019	78.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 38 local breeds, 5% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			2019	50.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 17 local breeds, 88% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			2019	84.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 31 local breeds, 0% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			2019	85.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 52 local breeds, 8% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			2019	29.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 27 local breeds, 74% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	231	Ethiopia	5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1			2019	50.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 74 local breeds, 97% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1			2019	100.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 11 local breeds, 91% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	234	Faroe Islands	4	154	Northern Europe	Country	-7.122044325	62.21228119	FRO	0	1			2019	50.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 2 local breeds, 0% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1			2019	88.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 37 local breeds, 78% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			2019	80.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 256 local breeds, 66% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1			2019	90.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 489 local breeds, 5% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	300	Greece	4	39	Southern Europe	Country	22.58307827	39.47301873	GRC	1	1			2019	71.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 36 local breeds, 14% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	32	Argentina	5	5	South America	Country	-65.14563274	-35.19446255	ARG	1	1			2019	20.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 24 local breeds, 79% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	348	Hungary	4	151	Eastern Europe	Country	19.41221519	47.1651448	HUN	1	1			2019	82.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 109 local breeds, 39% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	352	Iceland	4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1			2019	33.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 6 local breeds, 0% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	356	India	4	34	Southern Asia	Country	79.3608464	22.34642074	IND	1	1			2019	10.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 228 local breeds, 55% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	36	Australia	4	53	Australia and New Zealand	Country	134.3499412	-25.57717202	AUS	1	1			2019	100.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 126 local breeds, 96% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	360	Indonesia	4	35	South-Eastern Asia	Country	113.9174	-0.994582204	IDN	1	1			2019	15.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 152 local breeds, 65% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	372	Ireland	4	154	Northern Europe	Country	-7.121425272	53.25274054	IRL	1	1			2019	82.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 38 local breeds, 55% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	380	Italy	4	39	Southern Europe	Country	12.57022427	42.79917282	ITA	1	1			2019	93.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 178 local breeds, 1% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	39	Southern Europe	3	150	Europe	Region								2019	79.03846					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 689 local breeds, 25% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	40	Austria	4	155	Western Europe	Country	14.14172472	47.58704857	AUT	1	1			2019	91.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 23 local breeds, 0% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	404	Kenya	5	14	Eastern Africa	Country	37.86096816	0.534797278	KEN	1	1			2019	0.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 27 local breeds, 93% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	410	Republic of Korea	4	30	Eastern Asia	Country	127.8610254	36.45201023	KOR	1	1			2019	86.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 49 local breeds, 41% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	428	Latvia	4	154	Northern Europe	Country	26.42461876	56.64196636	LVA	1	1			2019	100.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 22 local breeds, 18% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	440	Lithuania	4	154	Northern Europe	Country	23.90517807	55.33680309	LTU	1	1			2019	80.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 20 local breeds, 25% are of unknown status	C	Country data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	442	Luxembourg	4	155	Western Europe	Country	6.092656563	49.77679538	LUX	1	1			2019	99.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 114 local breeds, 0% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	454	Malawi	5	14	Eastern Africa	Country	33.4884625	-13.40819859	MWI	1	1			2019	0.0					DAD-IS 2020 http://www.fao.org/dad-is/	Out of 14 local breeds, 71% are of unknown status	E	Estimated data	PT	Percentage	G	Global			
