series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	124	Canada	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	132	Cabo Verde	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	148	Chad	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	17	Middle Africa	Country	18.66618401	15.36279341	TCD	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	156	China	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	174	Comoros	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	14	Eastern Africa	Country	43.34234565	-11.66121732	COM	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	178	Congo	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	11	Western Africa	Country	15.22052612	-0.840544119	COG	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	184	Cook Islands	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	61	Polynesia	Country	-159.7711391	-21.22696458	COK	0	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	188	Costa Rica	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	13	Central America	Country	-84.19712782	9.970998683	CRI	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	204	Benin	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	11	Western Africa	Country	2.339933594	9.65401646	BEN	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	231	Ethiopia	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Recipient	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				5	14	Eastern Africa	Country	39.63505296	8.631223181	ETH	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	246	Finland	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1
SG_PLN_MSTKSDG	Progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals (1 = YES; 0 = NO)	276	Germany	1.0						Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP).		Provider	_X	Data nature not available	BOOL	Boolean or binary measure	G	Global	2018				4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1
