series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	typeOfProduct_code	typeOfProduct_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	5.02						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_ARMS	Arms	G	Global	2005				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	6.6						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_TXT	Textiles	G	Global	2005				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	0.49						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_OIL	Oil	G	Global	2005				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	9.12						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_CLTH	Clothing	G	Global	2005				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.5						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_IND	Industrial products	G	Global	2005				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	3.23						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	_T	Total or no breakdown	G	Global	2005				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	12.95						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_AGR	Agricultural products	G	Global	2005				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	5.1						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_TXT	Textiles	G	Global	2010				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	7.37						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_AGR	Agricultural products	G	Global	2010				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.53						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	_T	Total or no breakdown	G	Global	2010				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.1						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_IND	Industrial products	G	Global	2010				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	7.57						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_CLTH	Clothing	G	Global	2010				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.83						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_ARMS	Arms	G	Global	2010				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	0.27						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_OIL	Oil	G	Global	2010				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.77						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_ARMS	Arms	G	Global	2015				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	0.25						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_OIL	Oil	G	Global	2015				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.55						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	_T	Total or no breakdown	G	Global	2015				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	4.89						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_TXT	Textiles	G	Global	2015				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	7.04						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_AGR	Agricultural products	G	Global	2015				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	7.29						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_CLTH	Clothing	G	Global	2015				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.02						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_IND	Industrial products	G	Global	2015				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	9.84						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_AGR	Agricultural products	G	Global	2016				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	5.78						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_TXT	Textiles	G	Global	2016				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.98						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	_T	Total or no breakdown	G	Global	2016				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	4.36						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_ARMS	Arms	G	Global	2016				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	0.38						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_OIL	Oil	G	Global	2016				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.19						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_IND	Industrial products	G	Global	2016				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	10.1						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_CLTH	Clothing	G	Global	2016				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	4.48						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_TXT	Textiles	G	Global	2017				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	6.56						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_CLTH	Clothing	G	Global	2017				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	6.23						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_AGR	Agricultural products	G	Global	2017				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	1.68						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_IND	Industrial products	G	Global	2017				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	0.24						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_OIL	Oil	G	Global	2017				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.71						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_ARMS	Arms	G	Global	2017				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.18						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	_T	Total or no breakdown	G	Global	2017				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	6.28						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_AGR	Agricultural products	G	Global	2018				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.14						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	_T	Total or no breakdown	G	Global	2018				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	2.7						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_ARMS	Arms	G	Global	2018				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	6.53						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_CLTH	Clothing	G	Global	2018				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	1.63						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_IND	Industrial products	G	Global	2018				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	0.24						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_OIL	Oil	G	Global	2018				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	1	World	4.45						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_TXT	Textiles	G	Global	2018				1			Region					
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	13.97						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_CLTH	Clothing	G	Global	2005				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	4.02						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	_T	Total or no breakdown	G	Global	2005				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	7.89						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_AGR	Agricultural products	G	Global	2005				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	7.5						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_ARMS	Arms	G	Global	2005				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	2.51						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_IND	Industrial products	G	Global	2005				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	3.0						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_OIL	Oil	G	Global	2005				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	8.42						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_TXT	Textiles	G	Global	2005				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	3.38						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_AGR	Agricultural products	G	Global	2010				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	12.57						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_CLTH	Clothing	G	Global	2010				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	11.69						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_TXT	Textiles	G	Global	2010				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	1.74						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_IND	Industrial products	G	Global	2010				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	2.6						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	_T	Total or no breakdown	G	Global	2010				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	1.87						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	_T	Total or no breakdown	G	Global	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	1.27						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_TXT	Textiles	G	Global	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	2.35						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_AGR	Agricultural products	G	Global	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	4.25						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_CLTH	Clothing	G	Global	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
TM_TAX_WMPS	Worldwide weighted tariff-average, preferential status, by type of product (%)	104	Myanmar	1.83						Market Access Map data, International Trade Centre (ITC)			C	Country data	PT	Percentage	AGG_IND	Industrial products	G	Global	2015				4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1
