series	seriesDescription	geoAreaCode	geoAreaName	value	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	nature_code	nature_desc	units_code	units_desc	sex_code	sex_desc	reportingType_code	reportingType_desc	timePeriod	value_detail	lowerBound_detail	upperBound_detail	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	10.95584						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	M	Male	G	Global	1990				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	2.52589						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	F	Female	G	Global	1990				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	11.25469						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	M	Male	G	Global	1991				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	2.60537						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	F	Female	G	Global	1991				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	2.69893						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	F	Female	G	Global	1992				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	11.57772						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	M	Male	G	Global	1992				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	2.79969						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	F	Female	G	Global	1993				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	11.90219						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	M	Male	G	Global	1993				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	11.88654						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	M	Male	G	Global	1994				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	2.77495						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	F	Female	G	Global	1994				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	2.74565						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	F	Female	G	Global	1995				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	11.6639						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	M	Male	G	Global	1995				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	2.67343						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	F	Female	G	Global	1996				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	11.29609						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	M	Male	G	Global	1996				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	2.60352						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	F	Female	G	Global	1997				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	11.07268						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	M	Male	G	Global	1997				1			Region					
VC_IHR_PSRC	Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)	1	World	11.00571						United Nations Office on Drugs and Crime (UNODC)			E	Estimated data	PER_100000_POP	Per 100,000 population	M	Male	G	Global	1998				1			Region					
