goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2000	lowerbound_2000	upperbound_2000	value_2001	lowerbound_2001	upperbound_2001	value_2002	lowerbound_2002	upperbound_2002	value_2003	lowerbound_2003	upperbound_2003	value_2004	lowerbound_2004	upperbound_2004	value_2005	lowerbound_2005	upperbound_2005	value_2006	lowerbound_2006	upperbound_2006	value_2007	lowerbound_2007	upperbound_2007	value_2008	lowerbound_2008	upperbound_2008	value_2009	lowerbound_2009	upperbound_2009	value_2010	lowerbound_2010	upperbound_2010	value_2011	lowerbound_2011	upperbound_2011	value_2012	lowerbound_2012	upperbound_2012	value_2013	lowerbound_2013	upperbound_2013	value_2014	lowerbound_2014	upperbound_2014	value_2015	lowerbound_2015	upperbound_2015	value_2016	lowerbound_2016	upperbound_2016	value_2017	lowerbound_2017	upperbound_2017	value_2018	lowerbound_2018	upperbound_2018	latest_value	basePeriod	valueDetails	lowerBoundDetails	upperBoundDetails	footnotes	sources	timeDetails	nature
15	Goal 15	Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss	15.1	By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements	C150102	15.1.2	I	UNEP-WCMC, UNEP, IUCN	Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type	2019.Q4.G.01	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	1	World	1			Region						[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	33.06615	33.01592	33.12762	34.24763	34.19992	34.30696	35.24124	35.1922	35.29349	36.16541	36.1225	36.21352	38.38894	38.33408	38.43016	39.19645	39.14567	39.23485	40.43627	40.38171	40.47036	41.7387	41.68733	41.7741	42.46974	42.43238	42.49624	43.13863	43.1084	43.16707	43.64261	43.61311	43.66878	44.07651	44.04721	44.10222	44.67912	44.65589	44.69562	45.26454	45.2483	45.27711	45.60219	45.58628	45.61041	45.76142	45.74695	45.76856	45.91501	45.90491	45.91784	46.06558	46.05762	46.06558	46.08606	46.08606	46.08606	46.08606						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
15	Goal 15	Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss	15.1	By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements	C150102	15.1.2	I	UNEP-WCMC, UNEP, IUCN	Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type	2019.Q4.G.01	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	9.61664	9.61664	9.61664	11.61774	11.61774	11.61774	18.06902	18.06902	18.06902	20.8875	20.8875	20.8875	35.64087	35.64087	35.64087	42.2481	42.2481	42.2481	64.91643	64.91643	64.91643	98.84735	98.84735	98.84735	98.84735	98.84735	98.84735	98.84735	98.84735	98.84735	98.84735	98.84735	98.84735	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163	98.85163						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
15	Goal 15	Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss	15.1	By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements	C150102	15.1.2	I	UNEP-WCMC, UNEP, IUCN	Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type	2019.Q4.G.01	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	104	Myanmar	4	35	South-Eastern Asia	Country	96.51752295	21.19332882	MMR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	14.904	14.02123	15.85175	17.38011	16.48725	18.31777	19.12898	18.21372	20.04424	20.22522	19.08675	20.91727	23.52568	22.6141	23.97211	25.87343	24.59912	25.92832	25.87343	24.59912	25.92832	25.87343	24.59912	25.92832	25.87343	24.59912	25.92832	25.87343	24.59912	25.92832	26.79093	25.87456	26.79093	26.79093	25.87456	26.79093	26.79093	25.87456	26.79093	26.79093	25.87456	26.79093	26.79093	25.87456	26.79093	26.79093	25.87456	26.79093	27.16307	26.2803	27.16307	27.50522	26.82971	27.50522	27.50524	27.50524	27.50524	27.50524						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
15	Goal 15	Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss	15.1	By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements	C150102	15.1.2	I	UNEP-WCMC, UNEP, IUCN	Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type	2019.Q4.G.01	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	108	Burundi	5	14	Eastern Africa	Country	29.89080992	-3.366387428	BDI	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	64.40746	56.52091	64.40746	64.40746	56.52091	64.40746	67.08927	59.20272	67.08927	67.08927	59.20272	67.08927	67.08927	59.20272	67.08927	67.08927	59.20272	67.08927	67.08927	59.20272	67.08927	67.08927	59.20272	67.08927	67.08927	59.20272	67.08927	67.08927	59.20272	67.08927	67.08927	59.20272	67.08927	67.08927	59.20272	67.08927	67.08927	59.20272	67.08927	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595	67.31595						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
15	Goal 15	Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss	15.1	By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements	C150102	15.1.2	I	UNEP-WCMC, UNEP, IUCN	Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type	2019.Q4.G.01	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	29.17004	27.09976	31.00844	33.0028	30.5434	34.44496	33.70334	31.62849	35.12884	33.70334	31.62849	35.12884	33.70334	31.62849	35.12884	34.71285	32.6287	36.12905	34.71285	32.6287	36.12905	34.71285	32.6287	36.12905	34.71285	32.6287	36.12905	34.71285	32.6287	36.12905	35.11368	33.07457	36.43441	35.11368	33.07457	36.43441	37.93237	35.36229	38.62899	39.09244	36.9867	39.29747	46.65233	44.79441	46.65233	48.61621	48.61621	48.61621	48.61621	48.61621	48.61621	48.61621	48.61621	48.61621	48.61621	48.61621	48.61621	48.61621						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
15	Goal 15	Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss	15.1	By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements	C150102	15.1.2	I	UNEP-WCMC, UNEP, IUCN	Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type	2019.Q4.G.01	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	116	Cambodia	4	35	South-Eastern Asia	Country	104.922836	12.71163737	KHM	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	35.84349	35.84349	35.84349	35.84349	35.84349	35.84349	35.84349	35.84349	35.84349	35.84349	35.84349	35.84349	38.11964	38.11964	38.11964	38.11964	38.11964	38.11964	38.11964	38.11964	38.11964	39.32327	39.32327	39.32327	39.32327	39.32327	39.32327	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53658	39.53875	39.53875	39.53875	39.53875	39.53875	39.53875	39.53875	39.53875	39.53875	39.53875	39.53875	39.53875	39.53875						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
15	Goal 15	Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss	15.1	By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements	C150102	15.1.2	I	UNEP-WCMC, UNEP, IUCN	Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type	2019.Q4.G.01	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	12	Algeria	4	15	Northern Africa	Country	2.678164227	28.15940032	DZA	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	23.57792	23.57792	23.57792	31.3496	31.3496	31.3496	31.3496	31.3496	31.3496	33.77379	33.77379	33.77379	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	39.67099	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098	40.18098						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
15	Goal 15	Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss	15.1	By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements	C150102	15.1.2	I	UNEP-WCMC, UNEP, IUCN	Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type	2019.Q4.G.01	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	18.03044	15.50457	22.36007	20.78136	18.16205	25.17494	20.78136	18.16205	25.17494	20.78136	18.16205	25.17494	20.78136	18.16205	25.17494	24.72442	22.04083	27.12238	24.72442	22.04083	27.12238	26.22877	23.23798	28.16112	26.22877	23.23798	28.16112	29.45336	25.07006	29.61108	29.45336	25.07006	29.61108	29.45336	25.07006	29.61108	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592	35.32592						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
15	Goal 15	Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss	15.1	By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements	C150102	15.1.2	I	UNEP-WCMC, UNEP, IUCN	Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type	2019.Q4.G.01	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	18.08095	17.96681	18.13009	18.36052	18.25258	18.40485	18.54048	18.43247	18.58475	18.89165	18.78204	18.93553	18.89873	18.79481	18.94181	21.23804	21.14696	21.26187	21.31646	21.22292	21.33776	21.36212	21.27448	21.38342	22.5135	22.427	22.52715	22.69767	22.61239	22.71095	24.83974	24.75955	24.84529	24.92334	24.85966	24.92728	24.92334	24.85966	24.92728	24.93887	24.87485	24.94247	24.96827	24.90087	24.96849	25.10265	25.03504	25.10266	25.4765	25.43143	25.4765	26.46674	26.46674	26.46674	26.46674	26.46674	26.46674	26.46674						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
15	Goal 15	Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss	15.1	By 2020, ensure the conservation, restoration and sustainable use of terrestrial and inland freshwater ecosystems and their services, in particular forests, wetlands, mountains and drylands, in line with obligations under international agreements	C150102	15.1.2	I	UNEP-WCMC, UNEP, IUCN	Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type	2019.Q4.G.01	['water', 'freshwater', 'biological diversity', 'freshwater ecosystems', 'natural resources', 'national parks and protected areas']	ER_PTD_TERRS	Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1	[2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]	2000	2018	19	PT	Percentage	G	Global	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721	12.9721						BirdLife International, IUCN and UNEP-WCMC (2018). Based on spatial overlap between polygons for Key Biodiversity Areas from the World Database of key Biodiveristy Areas (www.keybiodiversityareas.org) and polygons for protected areas from the World Database on Protected Areas (www.protectedplanet.net)		C: Country data
