goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,levelStatus_code,levelStatus_desc,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2018,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2019.Q4.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),1,World,1,,,Region,,,,,,DEG_MHIG,Medium-high level of implementation,[2018],2018,2018,1,PT,Percentage,G,Global,21.0,21.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2019.Q4.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),1,World,1,,,Region,,,,,,DEG_LOW,Low level of implementation,[2018],2018,2018,1,PT,Percentage,G,Global,19.0,19.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2019.Q4.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),1,World,1,,,Region,,,,,,DEG_MLOW,Medium-low level of implementation,[2018],2018,2018,1,PT,Percentage,G,Global,41.0,41.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2019.Q4.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),1,World,1,,,Region,,,,,,DEG_VHIG,Very high level of implementation,[2018],2018,2018,1,PT,Percentage,G,Global,4.0,4.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2019.Q4.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),1,World,1,,,Region,,,,,,DEG_VLOW,Very low level of implementation,[2018],2018,2018,1,PT,Percentage,G,Global,1.0,1.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2019.Q4.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),1,World,1,,,Region,,,,,,DEG_HIG,High level of implementation,[2018],2018,2018,1,PT,Percentage,G,Global,15.0,15.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2019.Q4.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),202,Sub-Saharan Africa,3,2,Africa,Region,,,,,,DEG_MLOW,Medium-low level of implementation,[2018],2018,2018,1,PT,Percentage,G,Global,51.0,51.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2019.Q4.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),202,Sub-Saharan Africa,3,2,Africa,Region,,,,,,DEG_LOW,Low level of implementation,[2018],2018,2018,1,PT,Percentage,G,Global,18.0,18.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2019.Q4.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),202,Sub-Saharan Africa,3,2,Africa,Region,,,,,,DEG_MHIG,Medium-high level of implementation,[2018],2018,2018,1,PT,Percentage,G,Global,29.0,29.0,,,,Environment Live,,C: Country data
6,Goal 6,Ensure availability and sustainable management of water and sanitation for all,6.5,"By 2030, implement integrated water resources management at all levels, including through transboundary cooperation as appropriate",C060501,6.5.1,I,UNEP,Degree of integrated water resources management implementation (0–100),2019.Q4.G.01,"['water', 'water management', 'natural resources']",ER_H2O_IWRMP,Proportion of countries by IWRM implementation category (%),202,Sub-Saharan Africa,3,2,Africa,Region,,,,,,DEG_VLOW,Very low level of implementation,[2018],2018,2018,1,PT,Percentage,G,Global,2.0,2.0,,,,Environment Live,,C: Country data
