goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_tier	indicator_custodians	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2018	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	1	World	1			Region						[2018]	2018	2018	1	PT	Percentage	G	Global	51.503752384867	51.503752384867				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	51.9260346889495	51.9260346889495				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	100.0	100.0				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	43.0555552244186	43.0555552244186				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	32.7283173799514	32.7283173799514				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	65.625	65.625				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	50.2411544322967	50.2411544322967				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	64.2835557460784	64.2835557460784				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	352	Iceland	4	154	Northern Europe	Country	-19.02116966	64.79134763	ISL	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	100.0	100.0				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	36	Australia	4	53	Australia and New Zealand	Country	134.3499412	-25.57717202	AUS	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	39.3545031547546	39.3545031547546				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	372	Ireland	4	154	Northern Europe	Country	-7.121425272	53.25274054	IRL	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	54.8265159130096	54.8265159130096				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	380	Italy	4	39	Southern Europe	Country	12.57022427	42.79917282	ITA	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	57.3959529399871	57.3959529399871				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	392	Japan	4	30	Eastern Asia	Country	139.2716103	36.6554539	JPN	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	61.3435387611389	61.3435387611389				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	40	Austria	4	155	Western Europe	Country	14.14172472	47.58704857	AUT	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	91.9080913066864	91.9080913066864				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	410	Republic of Korea	4	30	Eastern Asia	Country	127.8610254	36.45201023	KOR	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	39.2045468091964	39.2045468091964				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	442	Luxembourg	4	155	Western Europe	Country	6.092656563	49.77679538	LUX	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	33.5278302431106	33.5278302431106				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	492	Monaco	4	155	Western Europe	Country	7.424214814	43.73532918	MCO	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	0.0	0.0				OECD and UNDP.		_X: Data nature not available
17	Goal 17	Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development	17.15	Respect each country’s policy space and leadership to establish and implement policies for poverty eradication and sustainable development	C171501	17.15.1	II	OECD, UNDP	Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	2020.Q1.G.01	['means of implementation', 'programme ownership', 'programme evaluation', 'results-based management']	SG_PLN_PRVRICTRY	Proportion of results indicators drawn from country-led results frameworks - data by provider (%)	528	Netherlands	4	155	Western Europe	Country	5.331480568	51.86728884	NLD	1	1	[2018]	2018	2018	1	PT	Percentage	G	Global	58.3608448505401	58.3608448505401				OECD and UNDP.		_X: Data nature not available
