goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_tier,indicator_custodians,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_1995,value_2000,value_2005,value_2010,value_2012,value_2014,value_2016,value_2017,value_2018,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",C020501,2.5.1,I,FAO,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2020.Q1.G.01,"['sustainable agriculture', 'genetic resources']",ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),1,World,1,,,Region,,,,,,"[1995, 2000, 2005, 2010, 2012, 2014, 2016, 2017, 2018]",1995,2018,9,NUMBER,Number,G,Global,2968201.0,3386229.0,4175111.0,4742990.0,4935779.0,5047817.0,5159482.0,5214135.0,5309861.0,5309861.0,,,"[1995,2000,2005,2010,2012]: Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016, 2017 and 2018. Holdings of the regional centre are included, as applicable. // [2014,2016-2018]: Estimate based on 2014, 2016, 2017 and 2018 reports.","FAO-WIEWS (http://www.fao.org/wiews), Genesys (https://www.genesys-pgr.org) and EURISCO (http://eurisco.ipk-gatersleben.de)",,E: Estimated data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",C020501,2.5.1,I,FAO,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2020.Q1.G.01,"['sustainable agriculture', 'genetic resources']",ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,"[1995, 2000, 2005, 2010, 2012, 2014, 2016, 2017, 2018]",1995,2018,9,NUMBER,Number,G,Global,62131.0,62131.0,62131.0,65875.0,65878.0,66126.0,67012.0,67510.0,69336.0,69336.0,,,"[1995,2000,2005,2010,2012]: Estimate based on the acquisition date of each conserved accession as reported in 2014.",FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),,"[1995,2000,2005,2010,2012]: E: Estimated data // [2014,2016-2018]: C: Country data"
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",C020501,2.5.1,I,FAO,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2020.Q1.G.01,"['sustainable agriculture', 'genetic resources']",ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,"[1995, 2000, 2005, 2010, 2012, 2014, 2016, 2017, 2018]",1995,2018,9,NUMBER,Number,G,Global,3214.0,7187.0,8746.0,10718.0,11393.0,11774.0,11902.0,12050.0,12050.0,12050.0,,,"[1995,2000,2005,2010,2012,2014,2016]: Estimate based on the acquisition date of each conserved accession as reported in 2017.",FAO-WIEWS (http://www.fao.org/wiews),,"[1995,2000,2005,2010,2012,2014,2016]: E: Estimated data // [2017-2018]: C: Country data"
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",C020501,2.5.1,I,FAO,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2020.Q1.G.01,"['sustainable agriculture', 'genetic resources']",ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),11,Western Africa,4,202,Sub-Saharan Africa,Region,,,,,,"[1995, 2000, 2005, 2010, 2012, 2014, 2016, 2017, 2018]",1995,2018,9,NUMBER,Number,G,Global,1206.0,1206.0,4786.0,4818.0,5500.0,6577.0,6578.0,6624.0,7892.0,7892.0,,,"[1995,2012,2014,2017-2018]: Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016, 2017 and 2018. Holdings of the regional centre are included, as applicable. // [2000,2005,2010,2016]: Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016 and 2017.",FAO-WIEWS (http://www.fao.org/wiews),,E: Estimated data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",C020501,2.5.1,I,FAO,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2020.Q1.G.01,"['sustainable agriculture', 'genetic resources']",ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),112,Belarus,4,151,Eastern Europe,Country,28.04940161,53.54193075,BLR,1,1,"[1995, 2000, 2005, 2010, 2012, 2014, 2016, 2017, 2018]",1995,2018,9,NUMBER,Number,G,Global,0.0,4.0,17.0,55.0,2475.0,6866.0,6866.0,6866.0,6866.0,6866.0,,,"[2010]: Estimate based on the acquisition date of each conserved accession as reported in 2012. // [2014,2016-2017]: Estimate based on 2012 report.","[1995,2000,2005]: FAO // [2010,2012,2014,2016-2018]: FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de)",,"[1995,2000,2005]: _X: Data nature not available // [2010,2014,2016-2017]: E: Estimated data // [2012,2018]: C: Country data"
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",C020501,2.5.1,I,FAO,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2020.Q1.G.01,"['sustainable agriculture', 'genetic resources']",ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,"[1995, 2000, 2005, 2010, 2012, 2014, 2016, 2017, 2018]",1995,2018,9,NUMBER,Number,G,Global,102075.0,106510.0,108299.0,109244.0,110363.0,110363.0,110363.0,110363.0,111157.0,111157.0,,,"[1995,2000,2005,2010,2012]: Estimate based on the acquisition date of each conserved accession as reported in 2014. // [2017]: Estimate based on 2016 report.",FAO-WIEWS (http://www.fao.org/wiews),,"[1995,2000,2005,2010,2012,2017]: E: Estimated data // [2014,2016,2018]: C: Country data"
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",C020501,2.5.1,I,FAO,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2020.Q1.G.01,"['sustainable agriculture', 'genetic resources']",ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),13,Central America,4,419,Latin America and the Caribbean,Region,,,,,,"[1995, 2000, 2005, 2010, 2012, 2014, 2016, 2017, 2018]",1995,2018,9,NUMBER,Number,G,Global,37424.0,39709.0,45611.0,60533.0,69310.0,71922.0,73917.0,74180.0,74180.0,74180.0,,,"[1995,2012,2016-2017]: Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016, 2017 and 2018. Holdings of the regional centre are included, as applicable. // [2000,2005,2010,2014,2018]: Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016 and 2017.",FAO-WIEWS (http://www.fao.org/wiews),,E: Estimated data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",C020501,2.5.1,I,FAO,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2020.Q1.G.01,"['sustainable agriculture', 'genetic resources']",ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),135,Caucasus and Central Asia,1,,,Group,,,,,,"[1995, 2000, 2005, 2010, 2012, 2014, 2016, 2017, 2018]",1995,2018,9,NUMBER,Number,G,Global,8544.0,9593.0,14261.0,18376.0,18969.0,18990.0,19941.0,20070.0,20070.0,20070.0,,,"Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016 and 2017.",FAO-WIEWS (http://www.fao.org/wiews),,E: Estimated data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",C020501,2.5.1,I,FAO,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2020.Q1.G.01,"['sustainable agriculture', 'genetic resources']",ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),14,Eastern Africa,4,202,Sub-Saharan Africa,Region,,,,,,"[1995, 2000, 2005, 2010, 2012, 2014, 2016, 2017, 2018]",1995,2018,9,NUMBER,Number,G,Global,113469.0,122729.0,140227.0,150860.0,152492.0,154729.0,157595.0,157595.0,158626.0,158626.0,,,"Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016 and 2017.",FAO-WIEWS (http://www.fao.org/wiews),,E: Estimated data
2,Goal 2,"End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,"By 2020, maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals and their related wild species, including through soundly managed and diversified seed and plant banks at the national, regional and international levels, and promote access to and fair and equitable sharing of benefits arising from the utilization of genetic resources and associated traditional knowledge, as internationally agreed",C020501,2.5.1,I,FAO,Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,2020.Q1.G.01,"['sustainable agriculture', 'genetic resources']",ER_GRF_PLNTSTOR,Plant breeds for which sufficient genetic resources are stored (number),142,Asia,2,1,World,Region,,,,,,"[1995, 2000, 2005, 2010, 2012, 2014, 2016, 2017, 2018]",1995,2018,9,NUMBER,Number,G,Global,419814.0,538348.0,697223.0,766764.0,790453.0,809899.0,835293.0,839922.0,848610.0,848610.0,,,"Estimate based on the acquisition date of each conserved accession as reported in 2014, 2016 and 2017.",FAO-WIEWS (http://www.fao.org/wiews),,E: Estimated data
