goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,timeCoverage,geoInfoUrl,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
11,Goal 11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.5,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",C200303,11.5.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2020.Q1.G.02,"['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']",VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,,,"[2015, 2016, 2017, 2018]",2015,2018,4,NUMBER,Number,G,Global,,,,,,,,,,,404.0,972.0,6533.0,571.0,571.0,,,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).,United Nations Office for Disaster Risk Reduction (2019),,_X: Data nature not available
11,Goal 11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.5,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",C200303,11.5.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2020.Q1.G.02,"['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']",VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),104,Myanmar,4,35,South-Eastern Asia,Country,96.51752295,21.19332882,MMR,1,1,,,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2005,2017,13,NUMBER,Number,G,Global,6883.23468,9174.46397,1861.6238,389136.65563,12444.23912,2887.90359,87195.59491,92532.24982,116298.98037,61276.0635,71636.0,158696.0,507959.0,,507959.0,,,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).,United Nations Office for Disaster Risk Reduction (2019),,_X: Data nature not available
11,Goal 11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.5,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",C200303,11.5.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2020.Q1.G.02,"['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']",VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),108,Burundi,5,14,Eastern Africa,Country,29.89080992,-3.366387428,BDI,1,1,,,"[2015, 2016, 2017]",2015,2017,3,NUMBER,Number,G,Global,,,,,,,,,,,867.0,616.0,1349.0,,1349.0,,,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).,United Nations Office for Disaster Risk Reduction (2019),,_X: Data nature not available
11,Goal 11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.5,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",C200303,11.5.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2020.Q1.G.02,"['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']",VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),116,Cambodia,4,35,South-Eastern Asia,Country,104.922836,12.71163737,KHM,1,1,,,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2005,2017,13,NUMBER,Number,G,Global,5202.16675,5556.85993,5611.04917,7591.41947,18123.83661,15714.87871,9054.52886,8389.47914,36991.54365,3980.44577,17156.0,19762.0,41907.0,,41907.0,,,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).,United Nations Office for Disaster Risk Reduction (2019),,_X: Data nature not available
11,Goal 11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.5,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",C200303,11.5.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2020.Q1.G.02,"['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']",VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),144,Sri Lanka,4,34,Southern Asia,Country,80.70489654,7.614693343,LKA,1,1,,,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2018]",2005,2018,13,NUMBER,Number,G,Global,49705.67211,56146.34151,64402.8141,184959.72955,28913.17372,35299.52423,80353.17067,44029.34721,38985.44949,75670.10563,6430.0,7271.0,,86087.69439,86087.69439,,,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).,United Nations Office for Disaster Risk Reduction (2019),,_X: Data nature not available
11,Goal 11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.5,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",C200303,11.5.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2020.Q1.G.02,"['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']",VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),152,Chile,5,5,South America,Country,-71.23029019,-35.2652885,CHL,1,1,,,"[2005, 2006, 2007, 2008, 2010, 2011, 2012, 2014, 2015, 2016, 2017]",2005,2017,11,NUMBER,Number,G,Global,12736.0,13988.0,6328.0,23740.0,,396702.0,4356.0,616.0,,18476.0,30216.0,640.0,4252.0,,4252.0,,,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).,United Nations Office for Disaster Risk Reduction (2019),,_X: Data nature not available
11,Goal 11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.5,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",C200303,11.5.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2020.Q1.G.02,"['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']",VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),156,China,4,30,Eastern Asia,Country,104.1403375,32.30955217,CHN,1,1,,,"[2015, 2016, 2017, 2018]",2015,2018,4,NUMBER,Number,G,Global,,,,,,,,,,,1636921.0,2082933.0,1030424.0,982115.0,982115.0,,,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).,United Nations Office for Disaster Risk Reduction (2019),,_X: Data nature not available
11,Goal 11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.5,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",C200303,11.5.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2020.Q1.G.02,"['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']",VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),170,Colombia,5,5,South America,Country,-73.07446751,3.888209046,COL,1,1,,,"[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",2005,2018,14,NUMBER,Number,G,Global,202434.0,214276.0,154036.0,551856.0,232387.0,1430237.0,1203460.0,449316.0,267610.0,232333.0,168938.0,129807.0,109165.0,117380.0,117380.0,,,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).,United Nations Office for Disaster Risk Reduction (2019),,_X: Data nature not available
11,Goal 11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.5,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",C200303,11.5.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2020.Q1.G.02,"['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']",VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),174,Comoros,5,14,Eastern Africa,Country,43.34234565,-11.66121732,COM,1,1,,,"[2012, 2018]",2012,2018,2,NUMBER,Number,G,Global,,,,,,,,118.0,,,,,,60.0,60.0,,,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).,United Nations Office for Disaster Risk Reduction (2019),,_X: Data nature not available
11,Goal 11,"Make cities and human settlements inclusive, safe, resilient and sustainable",11.5,"By 2030, significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters, including water-related disasters, with a focus on protecting the poor and people in vulnerable situations",C200303,11.5.1,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",2020.Q1.G.02,"['disaster loss', 'disaster prevention', 'preparedness and relief', 'disaster victims']",VC_DSR_PDAN,Number of people whose damaged dwellings were attributed to disasters (number),184,Cook Islands,4,61,Polynesia,Country,-159.7711391,-21.22696458,COK,0,1,,,"[2005, 2010]",2005,2010,2,NUMBER,Number,G,Global,1120.0,,,,,1752.0,,,,,,,,,1752.0,,,Disclaimer: the data being submitted by UNISDR has been extracted from two sources: (a) the Sendai Framework Monitoring System as provided by designated national focal points; and (b) Desinventar disaster loss databases. Some of the data has not finalized an official validation process and may be subject to revision at a later date.â. The nature of this data is a combination of C (Country) and E (Estimated).,United Nations Office for Disaster Risk Reduction (2019),,_X: Data nature not available
