goal_code	goal_labelEN	goal_descEN	target_code	target_descEN	indicator_code	indicator_reference	indicator_descEN	series_release	series_tags	series	seriesDescription	geoAreaCode	geoAreaName	level	parentCode	parentName	type	X	Y	ISO3	UN_Member	Country_Profile	timeCoverage	geoInfoUrl	years	min_year	max_year	n_years	unitsCode	unitsDesc	reportingTypeCode	reportingTypeDesc	value_2010	value_2011	value_2012	value_2013	value_2014	value_2015	value_2016	value_2017	value_2018	value_2019	latest_value	basePeriod	valueDetails	footnotes	sources	timeDetails	nature
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	1	World	1			Region								[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2010	2019	10	PT	Percentage	G	Global	15.72881	15.234301	14.31901	17.586498	16.96694	17.393496	18.416004	18.018819	17.759082	17.503302	17.503302				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	100	Bulgaria	4	151	Eastern Europe	Country	25.23763153	42.75731323	BGR	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								69.925278			69.925278				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	112	Belarus	4	151	Eastern Europe	Country	28.04940161	53.54193075	BLR	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								7.688247			7.688247				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	120	Cameroon	5	17	Middle Africa	Country	12.7419827	5.692387031	CMR	1	1			[2018]	2018	2018	1	PT	Percentage	G	Global									0.20387		0.20387				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	124	Canada	4	21	Northern America	Country	-101.6575058	57.72360191	CAN	1	1			[2016]	2016	2016	1	PT	Percentage	G	Global							14.125869				14.125869				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	132	Cabo Verde	5	11	Western Africa	Country	-23.63544151	15.07791834	CPV	1	1			[2015]	2015	2015	1	PT	Percentage	G	Global						85.508911					85.508911				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	152	Chile	5	5	South America	Country	-71.23029019	-35.2652885	CHL	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								3.166636			3.166636				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	156	China	4	30	Eastern Asia	Country	104.1403375	32.30955217	CHN	1	1			[2018]	2018	2018	1	PT	Percentage	G	Global									16.123449		16.123449				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	170	Colombia	5	5	South America	Country	-73.07446751	3.888209046	COL	1	1			[2014]	2014	2014	1	PT	Percentage	G	Global					1.027891						1.027891				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	191	Croatia	4	39	Southern Europe	Country	17.95874553	45.45172212	HRV	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								78.494702			78.494702				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	196	Cyprus	4	145	Western Asia	Country	33.22285964	35.05659437	CYP	1	1			[2016]	2016	2016	1	PT	Percentage	G	Global							17.308275				17.308275				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	202	Sub-Saharan Africa	3	2	Africa	Region								[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]	2010	2019	10	PT	Percentage	G	Global	0.340907	0.734521	0.738371	0.705114	0.686519	2.479328	3.479585	2.807263	4.374157	4.277349	4.277349				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	203	Czechia	4	151	Eastern Europe	Country	15.33151382	49.73913871	CZE	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								56.808885			56.808885				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	208	Denmark	4	154	Northern Europe	Country	9.326571283	56.03829721	DNK	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								53.561442			53.561442				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	218	Ecuador	5	5	South America	Country	-78.37005241	-1.447785891	ECU	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								0.005008			0.005008				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	222	El Salvador	5	13	Central America	Country	-88.86862995	13.73603564	SLV	1	1			[2012]	2012	2012	1	PT	Percentage	G	Global			2.044086								2.044086				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	233	Estonia	4	154	Northern Europe	Country	25.84093481	58.68487172	EST	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								76.465888			76.465888				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	246	Finland	4	154	Northern Europe	Country	23.308447	61.91586738	FIN	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								61.342842			61.342842				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	250	France	4	155	Western Europe	Country	2.457288129	46.62660861	FRA	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								55.648058			55.648058				Environment Live / UNU		E: Estimated data
12	Goal 12	Ensure sustainable consumption and production patterns	12.5	By 2030, substantially reduce waste generation through prevention, reduction, recycling and reuse	C120501	12.5.1	National recycling rate, tons of material recycled	2020.Q2.G.03	['electronic waste,recycling']	EN_EWT_RCYR	Electronic waste recycling, rate (%)	276	Germany	4	155	Western Europe	Country	10.3806066	51.08862743	DEU	1	1			[2017]	2017	2017	1	PT	Percentage	G	Global								51.921957			51.921957				Environment Live / UNU		E: Estimated data
