series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2000.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2001.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2002.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2003.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2004.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2005.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2006.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2007.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2008.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2009.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 62 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2010.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 62 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2011.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 62 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2012.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 62 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2013.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 62 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2014.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 62 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2015.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 62 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2016.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 62 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2017.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 62 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2018.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 62 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	818	Egypt	2019.0	NA	String					DAD-IS 2019 http://www.fao.org/dad-is/	['Out of 62 local breeds, 100% are of unknown status']	NA	PERCENT	G
