series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type
FI_FSI_FSKNL	Non-performing loans net of provisions to capital (%)	528	Netherlands	2008.0	35.01816	Float					http://data.imf.org/FSI	['Indicator for the whole deposit-taking sector']	C	PERCENT	G
FI_FSI_FSKNL	Non-performing loans net of provisions to capital (%)	528	Netherlands	2009.0	51.84101	Float					http://data.imf.org/FSI	['Indicator for the whole deposit-taking sector']	C	PERCENT	G
FI_FSI_FSKNL	Non-performing loans net of provisions to capital (%)	528	Netherlands	2010.0	47.28468	Float					http://data.imf.org/FSI	['Indicator for the whole deposit-taking sector']	C	PERCENT	G
FI_FSI_FSKNL	Non-performing loans net of provisions to capital (%)	528	Netherlands	2011.0	44.17813	Float					http://data.imf.org/FSI	['Indicator for the whole deposit-taking sector']	C	PERCENT	G
FI_FSI_FSKNL	Non-performing loans net of provisions to capital (%)	528	Netherlands	2012.0	46.73358	Float					http://data.imf.org/FSI	['Indicator for the whole deposit-taking sector']	C	PERCENT	G
FI_FSI_FSKNL	Non-performing loans net of provisions to capital (%)	528	Netherlands	2013.0	50.41069	Float					http://data.imf.org/FSI	['Indicator for the whole deposit-taking sector']	C	PERCENT	G
FI_FSI_FSKNL	Non-performing loans net of provisions to capital (%)	528	Netherlands	2014.0	39.97808	Float					http://data.imf.org/FSI	['Indicator for the whole deposit-taking sector']	C	PERCENT	G
FI_FSI_FSKNL	Non-performing loans net of provisions to capital (%)	528	Netherlands	2015.0	35.25031	Float					http://data.imf.org/FSI	['Indicator for the whole deposit-taking sector']	C	PERCENT	G
FI_FSI_FSKNL	Non-performing loans net of provisions to capital (%)	528	Netherlands	2016.0	32.58665	Float					http://data.imf.org/FSI	['Indicator for the whole deposit-taking sector']	C	PERCENT	G
FI_FSI_FSKNL	Non-performing loans net of provisions to capital (%)	528	Netherlands	2017.0	28.82073	Float					http://data.imf.org/FSI	['Indicator for the whole deposit-taking sector']	C	PERCENT	G
