series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2002.0	20.00	Float					Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU)	['']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2003.0	20.00	Float					Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU)	['']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2004.0	20.00	Float					Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU)	['']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2005.0	20.00	Float					Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU)	['']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2006.0	50.00	Float					Data based on the World Telecommunication/ICT Indicators Database, 2018, International Telecommunication Union (ITU)	['']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2009.0	85.00	Float					Office of the Vanuatu Telecom Regulator	['Office of the Vanuatu Telecom Regulator']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2010.0	87.00	Float					Office of the Vanuatu Telecom Regulator	['Office of the Vanuatu Telecom Regulator']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2011.0	90.00	Float					Office of the Vanuatu Telecom Regulator	['']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2012.0	92.00	Float					Telecommunications & Radiocommunications Regulator	['']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2013.0	93.00	Float					Office of theTelecommunications & Radiocommunications Regulator	['']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2014.0	93.00	Float					ITU estimate. 	['']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2015.0	93.00	Float					Office of theTelecommunications & Radiocommunications Regulator	['Estimated larger but not yet confirmed as audit incomplete. ']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2016.0	95.00	Float					Office of the Telecommunications & Radiocommunications Regulator	['']	NA	PERCENT	G
IT_MOB_2GNTWK	Proportion of population covered by at least a 2G mobile network (%)	548	Vanuatu	2017.0	98.00	Float					Office of the Telecommunications & Radiocommunications Regulator	['Based on Universal Access policy report ']	NA	PERCENT	G
