series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2000.0	7.72	Float					Telecommunications Services of Trinidad and Tobago (TSTT).	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2001.0	15.38	Float					ITU estimate.	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2002.0	22.00	Float					ITU estimate.	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2003.0	25.97	Float					ITU estimate.	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2004.0	27.02	Float					ITU estimate.	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2005.0	28.98	Float					ITU estimate.	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2006.0	30.00	Float					ITU estimate.	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2007.0	32.30	Float					Telecommunications Authority of Trinidad and Tobago	['Country estimate.']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2008.0	34.80	Float					Telecommunications Authority of Trinidad and Tobago	['Country estimate.']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2009.0	44.30	Float					Telecommunications Authority of Trinidad and Tobago	['Country estimate.']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2010.0	48.50	Float					Telecommunications Authority of Trinidad and Tobago (TATT)	['Country estimate.']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2011.0	55.20	Float					Telecommunications Authority of Trinidad and Tobago (TATT)	['Country estimate.']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2012.0	59.52	Float					ITU estimate.	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2013.0	63.80	Float					ITU estimate.	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2014.0	65.10	Float					ITU estimate.	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2015.0	69.20	Float					ITU estimate.	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2016.0	73.30	Float					ITU Estimate.	['']	NA	PER_100_POP
IT_USE_ii99	Internet users per 100 inhabitants	780	Trinidad and Tobago	2017.0	77.33	Float					ITU estimate.	['']	NA	PER_100_POP
