series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Education level	Reporting Type	Type of skill
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	82.5	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 6 (-1); Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	FEMALE	PRIMAR	G	SKILL_READ
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	73.3	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 3; Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	BOTHSEX	GRAD23	G	SKILL_READ
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	62	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 3; Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	MALE	GRAD23	G	SKILL_READ
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	61.8	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 6 (-1); Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	MALE	PRIMAR	G	SKILL_READ
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	72.6	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 6 (-1); Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	BOTHSEX	PRIMAR	G	SKILL_READ
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	82.7	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 3; Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	FEMALE	GRAD23	G	SKILL_READ
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	43.5	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 3; Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	MALE	GRAD23	G	SKILL_MATH
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	46.5	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 3; Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	BOTHSEX	GRAD23	G	SKILL_MATH
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	49.1	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 3; Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	FEMALE	GRAD23	G	SKILL_MATH
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	70.9	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 6 (-1); Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	BOTHSEX	PRIMAR	G	SKILL_MATH
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	62.7	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 6 (-1); Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	MALE	PRIMAR	G	SKILL_MATH
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2013.0	78.3	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 6 (-1); Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	FEMALE	PRIMAR	G	SKILL_MATH
SE_TOT_PRFL	Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%)	660	Anguilla	2014.0	30.7	Float					National Learning Assessment (NLA): Academic Performance Assessment; Grade 3; Minimum proficiency level: Meeting the standards of 50%	['']	C	PERCENT	MALE	GRAD23	G	SKILL_MATH
