series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Age	Reporting Type
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2001.0	5.08693	Float					Kuwait nutrition surveillance system, 2005 report: 2001-2005 trends. Kuwait, State of Kuwait: Administration of Food and Nutrition, Ministry of Health, 2006 (and additional analysis).	['National Surveillance System']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2002.0	5.00465	Float					Kuwait nutrition surveillance system, 2005 report: 2001-2005 trends. Kuwait, State of Kuwait: Administration of Food and Nutrition, Ministry of Health, 2006 (and additional analysis).	['National Surveillance System']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2003.0	5.68464	Float					Kuwait nutrition surveillance system, 2005 report: 2001-2005 trends. Kuwait, State of Kuwait: Administration of Food and Nutrition, Ministry of Health, 2006 (and additional analysis).	['National Surveillance System']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2004.0	7.20647	Float					Kuwait nutrition surveillance system, 2005 report: 2001-2005 trends. Kuwait, State of Kuwait: Administration of Food and Nutrition, Ministry of Health, 2006 (and additional analysis).	['National Surveillance System']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2005.0	7.05052	Float					Kuwait nutrition surveillance system, 2005 report: 2001-2005 trends. Kuwait, State of Kuwait: Administration of Food and Nutrition, Ministry of Health, 2006 (and additional analysis).	['National Surveillance System']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2006.0	5.92474	Float					Kuwait nutrition surveillance system: 2006-2009 trends. Kuwait, State of Kuwait: Administration of Food and Nutrition, Ministry of Health, 2010 (and additional analysis).	['National Surveillance System']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2007.0	7.93256	Float					Kuwait nutrition surveillance system: 2006-2009 trends. Kuwait, State of Kuwait: Administration of Food and Nutrition, Ministry of Health, 2010 (and additional analysis).	['National Surveillance System']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2008.0	5.22135	Float					Kuwait nutrition surveillance system: 2006-2009 trends. Kuwait, State of Kuwait: Administration of Food and Nutrition, Ministry of Health, 2010 (and additional analysis).	['National Surveillance System']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2009.0	4.62224	Float					Kuwait nutrition surveillance system: 2006-2009 trends. Kuwait, State of Kuwait: Administration of Food and Nutrition, Ministry of Health, 2010 (and additional analysis).	['National Surveillance System']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2010.0	6.57211	Float					Kuwait Nutrition Surveillance System [KNSS] 2010-2012. Kuwait city, Kuwait: Food & Nutrition Administration, 2013 (and additional analysis).	['']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2011.0	4.95329	Float					Kuwait Nutrition Surveillance System [KNSS] 2010-2012. Kuwait city, Kuwait: Food & Nutrition Administration, 2013 (and additional analysis).	['']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2012.0	7.26295	Float					Kuwait Nutrition Surveillance System [KNSS] 2010-2012. Kuwait city, Kuwait: Food & Nutrition Administration, 2013 (and additional analysis).	['']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2013.0	8.31465	Float					Kuwait Nutrition Surveillance System [KNSS] 2013-2014. Kuwait city, Kuwait: Food & Nutrition Administration, 2015.	['']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2014.0	7.43789	Float					Kuwait Nutrition Surveillance System [KNSS] 2013-2014. Kuwait city, Kuwait: Food & Nutrition Administration, 2015.	['']	CA	NUM_U5_M	<5Y	G
SH_STA_WASTEN	Children moderately or severely wasted (millions)	414	Kuwait	2015.0	9.6343	Float					The Kuwait Nutrition Surveillance System [KNSS] 2015 Annual Report. Kuwait City. Food & Nutrition Administration	['overweight using BMI-for-age z-scores']	CA	NUM_U5_M	<5Y	G
