series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type	Quantile
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	804	Ukraine	2006.0	53.49715	Float					State Statistics Committee of Ukraine	['Household Living Conditions Survey']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	804	Ukraine	2006.0	47.44563	Float					State Statistics Committee of Ukraine	['Household Living Conditions Survey']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	804	Ukraine	2011.0	48.98668	Float					State Statistics Service of Ukraine 	['Household Living Conditions Survey']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	804	Ukraine	2011.0	58.00682	Float					State Statistics Service of Ukraine 	['Household Living Conditions Survey']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	804	Ukraine	2012.0	58.58967	Float					State Statistics Service of Ukraine 	['Household Living Conditions Survey']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	804	Ukraine	2012.0	49.51679	Float					State Statistics Service of Ukraine 	['Household Living Conditions Survey']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	804	Ukraine	2013.0	48.07396	Float					State Statistics Committee of Ukraine - UKRSTAT	['Household Living Conditions Survey']	CA	PERCENT	G	_T
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	804	Ukraine	2013.0	58.09023	Float					State Statistics Committee of Ukraine - UKRSTAT	['Household Living Conditions Survey']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	804	Ukraine	2015.0	46.96691	Float					State Statistics Committe of Ukraine - UKRSTAT	['Household Living Conditions Survey']	CA	PERCENT	G	Q1
SI_COV_SOCAST	[World Bank] Proportion of population covered by social assistance programs (%)	804	Ukraine	2015.0	36.62819	Float					State Statistics Committe of Ukraine - UKRSTAT	['Household Living Conditions Survey']	CA	PERCENT	G	_T
