series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Location	Sex	Age	Reporting Type
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	15.63333	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	MALE	65+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	18.4825	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	FEMALE	65+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	14.2325	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	FEMALE	25-44	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	11.08417	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	MALE	20+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	15.13708	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	FEMALE	20+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	9.37917	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	MALE	25-44	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	10.13875	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	MALE	20-64	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	14.30542	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	FEMALE	20-64	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	7.19958	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	MALE	20-24	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	12.33958	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	MALE	55-64	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	16.56042	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	FEMALE	55-64	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	11.2075	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	MALE	45-54	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	14.73042	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	FEMALE	45-54	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	752	Sweden	2001.0	8.37208	Float					Statistics Sweden based on The Swedish Time-Use Survey 2000	['']	C	PERCENT	ALLAREA	FEMALE	20-24	G
