series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Age	Sex	Reporting Type
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2000.0	15.5	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2000.0	22.3	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2000.0	10.2	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2001.0	14.9	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2001.0	10.2	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2001.0	20.9	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2002.0	19.6	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2002.0	14.2	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2002.0	9.9	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2003.0	11.7	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2003.0	7.8	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2003.0	16.7	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2003.0	27.5	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15-24	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2003.0	21.3	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2003.0	9.0	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	25+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2003.0	5.1	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	25+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2003.0	13.8	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	25+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2003.0	16.7	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15-24	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2004.0	11.4	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	25+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2004.0	15.6	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2004.0	11.4	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2004.0	5.0	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	25+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2004.0	28.1	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2004.0	8.1	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2004.0	22.0	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15-24	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2004.0	36.3	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15-24	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2004.0	7.9	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	25+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2005.0	11.3	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2005.0	7.6	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2005.0	15.8	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2006.0	7.0	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2006.0	14.5	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2006.0	10.3	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2007.0	9.8	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2007.0	6.1	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2007.0	14.3	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2008.0	13.8	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2008.0	10.3	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2008.0	26.4	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2008.0	7.4	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2008.0	19.9	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15-24	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2008.0	5.2	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	25+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2008.0	10.5	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	25+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2008.0	7.6	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	25+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2008.0	34.8	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old;Nonstandard age group: Including age 14']	C	PERCENT	15-24	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2009.0	11.4	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2009.0	8.5	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2009.0	14.8	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2010.0	9.2	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2010.0	16.2	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2010.0	12.4	Float					ILOSTAT - LFS - Labour Force Survey	['Age coverage - minimum age: 14 years old']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2011.0	12.7	Float					ILOSTAT - LFS - Labour Force Survey	[';Nonstandard age group: Including age 14']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2011.0	17.2	Float					ILOSTAT - LFS - Labour Force Survey	[';Nonstandard age group: Including age 14']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	388	Jamaica	2011.0	9.6	Float					ILOSTAT - LFS - Labour Force Survey	[';Nonstandard age group: Including age 14']	C	PERCENT	15+	MALE	G
