series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	1990.0	18.62062	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	1991.0	5.40317	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	1992.0	8.16673	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	1993.0	6.19162	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	1994.0	12.72714	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	1995.0	16.1191	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	1996.0	18.45403	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	1997.0	18.33864	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	1998.0	16.91006	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	1999.0	13.94315	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2000.0	13.05337	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2001.0	15.12683	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2002.0	10.41471	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2003.0	7.10015	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2004.0	10.37575	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2005.0	14.69083	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2006.0	5.48879	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2007.0	3.97006	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2008.0	3.23865	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2009.0	2.51799	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2010.0	1.71475	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2011.0	1.28159	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2012.0	1.26508	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2013.0	5.07718	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2014.0	1.10399	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2015.0	1.17961	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2016.0	1.42948	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2017.0	4.01324	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
DT_TDS_DECT	Debt service as a proportion of exports of goods and services (%)	100	Bulgaria	2018.0	1.29514	Float					World Development Indicators (WDI) 	['']	CA	PERCENT	G
