series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Reporting Type
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2000.0	23.1	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	BOTHSEX	G
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2005.0	9.1	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	BOTHSEX	G
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2007.0	7.6	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	BOTHSEX	G
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2009.0	15.8	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	BOTHSEX	G
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2010.0	11.1	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	BOTHSEX	G
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2011.0	11.5	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	BOTHSEX	G
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2013.0	11.4	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	FEMALE	G
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2013.0	9.8	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	MALE	G
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2013.0	10.5	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	BOTHSEX	G
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2014.0	10.7	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	FEMALE	G
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2014.0	9.9	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	BOTHSEX	G
SI_COV_UEMP	[ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%)	703	Slovakia	2014.0	9.2	Float					ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)	['']	E	PERCENT	MALE	G
