series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Type of occupation	Reporting Type
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	33	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-5	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	38	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-6	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	25	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-9	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	43	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-4	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	40	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-8	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	43	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-7	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	54	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	57	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-3	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	85	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-2	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	83	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-1	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	31	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-X	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	39	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-6	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	26	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-9	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	41	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-8	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	37	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-5	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	86	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-1	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	58	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	28	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	BOTHSEX	isco08-X	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	43	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	MALE	isco08-7	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	42	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-4	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	50	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-3	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	29	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-5	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	49	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	75	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-2	G
SL_EMP_AEARN	Average hourly earnings of managers (ISCO-08) (local currency)	376	Israel	2014.0	74	Float					HIES - Income Survey	['Local currency: ISR - New Shekel(ILS) | Working time arrangement coverage: Full-time and part time workers']	C	CUR_LCU	FEMALE	isco08-1	G
