series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Age	Sex	Reporting Type
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2012.0	11.8	Float					LFS - National survey on the employment situation	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	MALE	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2012.0	13.5	Float					LFS - National survey on the employment situation	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	FEMALE	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2012.0	12.7	Float					LFS - National survey on the employment situation	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2013.0	13.0	Float					LFS - National survey on the employment situation	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	FEMALE	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2013.0	7.2	Float					LFS - National survey on the employment situation	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	MALE	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2013.0	10.2	Float					LFS - National survey on the employment situation	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2016.0	23.7	Float					LFS - National survey on the employment situation	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	MALE	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2016.0	46.5	Float					LFS - National survey on the employment situation	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	FEMALE	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2016.0	36.0	Float					LFS - National survey on the employment situation	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2017.0	25.4	Float					LFS - Regional Integrated Survey on Employment and the Informal Sector	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	MALE	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2017.0	44.2	Float					LFS - Regional Integrated Survey on Employment and the Informal Sector	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	FEMALE	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	384	Côte d'Ivoire	2017.0	34.8	Float					LFS - Regional Integrated Survey on Employment and the Informal Sector	['Repository: ILO-STATISTICS - Micro data processing']	C	PERCENT	15-24	BOTHSEX	G
