series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Age	Reporting Type
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2001.0	18.6	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2002.0	14.9	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2003.0	13.5	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2004.0	13.2	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2005.0	12.8	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2006.0	12.5	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2007.0	10.7	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2008.0	9.7	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2009.0	9.6	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2010.0	8.2	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2011.0	7.8	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2012.0	8.0	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2013.0	8.0	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2014.0	8.8	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2015.0	8.5	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
SL_TLF_NEET	Proportion of youth not in education, employment or training, by sex and age (%)	398	Kazakhstan	2016.0	9.5	Float					LFS - Sample Survey of Employment	['']	C	PERCENT	BOTHSEX	15-28	G
