series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Sex	Disability status	Reporting Type
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.6	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	13.2	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	FEMALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.8	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	FEMALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.4	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	9.9	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.5	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.5	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	BOTHSEX	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	4.6	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2017.0	11.4	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4.2	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	MALE	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4.3	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	BOTHSEX	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	10.6	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	BOTHSEX	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4.4	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	BOTHSEX	_T	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	MALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	11.2	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	MALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4.5	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	FEMALE	PWD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	10.1	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	FEMALE	PD	G
SL_TLF_UEMDIS	Unemployment rate, by sex and disability (%)	554	New Zealand	2018.0	4.6	Float					LFS - Household Labour Force Survey	['']	C	PERCENT	FEMALE	_T	G
