series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Age	Sex	Reporting Type
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2000.0	2.3	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2000.0	2.28	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	25+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2000.0	2.95	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	25+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2000.0	4.11	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15-24	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2000.0	3.13	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2000.0	1.76	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	25+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2000.0	5.8	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15-24	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2000.0	2.67	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2000.0	5	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2001.0	3.1	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	25+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2001.0	5.63	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2001.0	1.98	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	25+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2001.0	2.49	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2001.0	1.7	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2001.0	5.49	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15-24	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2001.0	1.09	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	25+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2001.0	5.75	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15-24	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2001.0	3.46	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2002.0	2.78	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2002.0	7.14	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15-24	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2002.0	2.1	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	25+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2002.0	2.92	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2002.0	5.59	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2002.0	2.48	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	25+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2002.0	3.1	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2002.0	3.93	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15-24	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2002.0	2.95	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	25+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2003.0	4.12	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2003.0	3.81	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2003.0	8.29	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15-24	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2003.0	8.5	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	756	Switzerland	2003.0	3.38	Float					LFS - EU Labour Force Survey	['Repository: Eurostat special tabulation']	C	PERCENT	25+	BOTHSEX	G
