series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type
ST_EEV_ACCSEEA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)	360	Indonesia	2008.0	0	Float					"Statistics Indonesia (BPS), https://www.bps.go.id/publication/2018/12/28/97af8a17e92c1cb3aa5ebd59/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2013-2017.html
https://www.bps.go.id/publication/2013/12/02/9e0c9ccb09e4cb272370081d/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2008-2012.html
https://www.bps.go.id/publication/2019/03/26/66604e9f077983c15b80e2bc/neraca-satelit-pariwisata-nasional--nesparnas--2017-.html
https://www.kemenpar.go.id/categories/publikasi-nesparnas"	['']	C	NUMBER	G
ST_EEV_ACCSEEA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)	360	Indonesia	2009.0	0	Float					"Statistics Indonesia (BPS), https://www.bps.go.id/publication/2018/12/28/97af8a17e92c1cb3aa5ebd59/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2013-2017.html
https://www.bps.go.id/publication/2013/12/02/9e0c9ccb09e4cb272370081d/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2008-2012.html
https://www.bps.go.id/publication/2019/03/26/66604e9f077983c15b80e2bc/neraca-satelit-pariwisata-nasional--nesparnas--2017-.html
https://www.kemenpar.go.id/categories/publikasi-nesparnas"	['']	C	NUMBER	G
ST_EEV_ACCSEEA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)	360	Indonesia	2010.0	0	Float					"Statistics Indonesia (BPS), https://www.bps.go.id/publication/2018/12/28/97af8a17e92c1cb3aa5ebd59/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2013-2017.html
https://www.bps.go.id/publication/2013/12/02/9e0c9ccb09e4cb272370081d/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2008-2012.html
https://www.bps.go.id/publication/2019/03/26/66604e9f077983c15b80e2bc/neraca-satelit-pariwisata-nasional--nesparnas--2017-.html
https://www.kemenpar.go.id/categories/publikasi-nesparnas"	['']	C	NUMBER	G
ST_EEV_ACCSEEA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)	360	Indonesia	2011.0	2	Float					"Statistics Indonesia (BPS), https://www.bps.go.id/publication/2018/12/28/97af8a17e92c1cb3aa5ebd59/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2013-2017.html
https://www.bps.go.id/publication/2013/12/02/9e0c9ccb09e4cb272370081d/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2008-2012.html
https://www.bps.go.id/publication/2019/03/26/66604e9f077983c15b80e2bc/neraca-satelit-pariwisata-nasional--nesparnas--2017-.html
https://www.kemenpar.go.id/categories/publikasi-nesparnas"	['']	C	NUMBER	G
ST_EEV_ACCSEEA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)	360	Indonesia	2012.0	2	Float					"Statistics Indonesia (BPS), https://www.bps.go.id/publication/2018/12/28/97af8a17e92c1cb3aa5ebd59/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2013-2017.html
https://www.bps.go.id/publication/2013/12/02/9e0c9ccb09e4cb272370081d/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2008-2012.html
https://www.bps.go.id/publication/2019/03/26/66604e9f077983c15b80e2bc/neraca-satelit-pariwisata-nasional--nesparnas--2017-.html
https://www.kemenpar.go.id/categories/publikasi-nesparnas"	['']	C	NUMBER	G
ST_EEV_ACCSEEA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)	360	Indonesia	2013.0	2	Float					"Statistics Indonesia (BPS), https://www.bps.go.id/publication/2018/12/28/97af8a17e92c1cb3aa5ebd59/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2013-2017.html
https://www.bps.go.id/publication/2013/12/02/9e0c9ccb09e4cb272370081d/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2008-2012.html
https://www.bps.go.id/publication/2019/03/26/66604e9f077983c15b80e2bc/neraca-satelit-pariwisata-nasional--nesparnas--2017-.html
https://www.kemenpar.go.id/categories/publikasi-nesparnas"	['']	C	NUMBER	G
ST_EEV_ACCSEEA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)	360	Indonesia	2014.0	2	Float					"Statistics Indonesia (BPS), https://www.bps.go.id/publication/2018/12/28/97af8a17e92c1cb3aa5ebd59/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2013-2017.html
https://www.bps.go.id/publication/2013/12/02/9e0c9ccb09e4cb272370081d/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2008-2012.html
https://www.bps.go.id/publication/2019/03/26/66604e9f077983c15b80e2bc/neraca-satelit-pariwisata-nasional--nesparnas--2017-.html
https://www.kemenpar.go.id/categories/publikasi-nesparnas"	['']	C	NUMBER	G
ST_EEV_ACCSEEA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)	360	Indonesia	2015.0	2	Float					"Statistics Indonesia (BPS), https://www.bps.go.id/publication/2018/12/28/97af8a17e92c1cb3aa5ebd59/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2013-2017.html
https://www.bps.go.id/publication/2013/12/02/9e0c9ccb09e4cb272370081d/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2008-2012.html
https://www.bps.go.id/publication/2019/03/26/66604e9f077983c15b80e2bc/neraca-satelit-pariwisata-nasional--nesparnas--2017-.html
https://www.kemenpar.go.id/categories/publikasi-nesparnas"	['']	C	NUMBER	G
ST_EEV_ACCSEEA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)	360	Indonesia	2016.0	2	Float					"Statistics Indonesia (BPS), https://www.bps.go.id/publication/2018/12/28/97af8a17e92c1cb3aa5ebd59/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2013-2017.html
https://www.bps.go.id/publication/2013/12/02/9e0c9ccb09e4cb272370081d/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2008-2012.html
https://www.bps.go.id/publication/2019/03/26/66604e9f077983c15b80e2bc/neraca-satelit-pariwisata-nasional--nesparnas--2017-.html
https://www.kemenpar.go.id/categories/publikasi-nesparnas"	['']	C	NUMBER	G
ST_EEV_ACCSEEA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)	360	Indonesia	2017.0	2	Float					"Statistics Indonesia (BPS), https://www.bps.go.id/publication/2018/12/28/97af8a17e92c1cb3aa5ebd59/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2013-2017.html
https://www.bps.go.id/publication/2013/12/02/9e0c9ccb09e4cb272370081d/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2008-2012.html
https://www.bps.go.id/publication/2019/03/26/66604e9f077983c15b80e2bc/neraca-satelit-pariwisata-nasional--nesparnas--2017-.html
https://www.kemenpar.go.id/categories/publikasi-nesparnas"	['']	C	NUMBER	G
ST_EEV_ACCSEEA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)	360	Indonesia	2018.0	0	Float					"Statistics Indonesia (BPS), https://www.bps.go.id/publication/2018/12/28/97af8a17e92c1cb3aa5ebd59/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2013-2017.html
https://www.bps.go.id/publication/2013/12/02/9e0c9ccb09e4cb272370081d/sistem-terintegrasi-neraca-lingkungan-dan-ekonomi-indonesia-2008-2012.html
https://www.bps.go.id/publication/2019/03/26/66604e9f077983c15b80e2bc/neraca-satelit-pariwisata-nasional--nesparnas--2017-.html
https://www.kemenpar.go.id/categories/publikasi-nesparnas"	['']	C	NUMBER	G
