series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	upperBound	lowerBound	basePeriod	source	footnotes	Nature	Units	Reporting Type
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	276	Germany	2008.0	2	Float					Federal Statistical Office of Germany	['The TSA tables were compiled as part of two studies commissioned by the Federal Ministry for Economic Affairs and Energy and carried out by Bundesverband der Deutschen Tourismuswirtschaft, DIW Econ and others']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	276	Germany	2009.0	2	Float					Federal Statistical Office of Germany	['The TSA tables were compiled as part of two studies commissioned by the Federal Ministry for Economic Affairs and Energy and carried out by Bundesverband der Deutschen Tourismuswirtschaft, DIW Econ and others']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	276	Germany	2010.0	10	Float					Federal Statistical Office of Germany	['The TSA tables were compiled as part of two studies commissioned by the Federal Ministry for Economic Affairs and Energy and carried out by Bundesverband der Deutschen Tourismuswirtschaft, DIW Econ and others']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	276	Germany	2011.0	2	Float					Federal Statistical Office of Germany	['The TSA tables were compiled as part of two studies commissioned by the Federal Ministry for Economic Affairs and Energy and carried out by Bundesverband der Deutschen Tourismuswirtschaft, DIW Econ and others']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	276	Germany	2012.0	2	Float					Federal Statistical Office of Germany	['The TSA tables were compiled as part of two studies commissioned by the Federal Ministry for Economic Affairs and Energy and carried out by Bundesverband der Deutschen Tourismuswirtschaft, DIW Econ and others']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	276	Germany	2013.0	3	Float					Federal Statistical Office of Germany	['The TSA tables were compiled as part of two studies commissioned by the Federal Ministry for Economic Affairs and Energy and carried out by Bundesverband der Deutschen Tourismuswirtschaft, DIW Econ and others']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	276	Germany	2014.0	2	Float					Federal Statistical Office of Germany	['The TSA tables were compiled as part of two studies commissioned by the Federal Ministry for Economic Affairs and Energy and carried out by Bundesverband der Deutschen Tourismuswirtschaft, DIW Econ and others']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	276	Germany	2015.0	9	Float					Federal Statistical Office of Germany	['The TSA tables were compiled as part of two studies commissioned by the Federal Ministry for Economic Affairs and Energy and carried out by Bundesverband der Deutschen Tourismuswirtschaft, DIW Econ and others']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	276	Germany	2016.0	3	Float					Federal Statistical Office of Germany	['The TSA tables were compiled as part of two studies commissioned by the Federal Ministry for Economic Affairs and Energy and carried out by Bundesverband der Deutschen Tourismuswirtschaft, DIW Econ and others']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	276	Germany	2017.0	2	Float					Federal Statistical Office of Germany	['The TSA tables were compiled as part of two studies commissioned by the Federal Ministry for Economic Affairs and Energy and carried out by Bundesverband der Deutschen Tourismuswirtschaft, DIW Econ and others']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	276	Germany	2018.0	0	Float					Federal Statistical Office of Germany	['The TSA tables were compiled as part of two studies commissioned by the Federal Ministry for Economic Affairs and Energy and carried out by Bundesverband der Deutschen Tourismuswirtschaft, DIW Econ and others']	C	NUMBER	G
