series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2000.0	42.939	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2001.0	45.003	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2002.0	48.581	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2003.0	52.145	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2004.0	56.345	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2005.0	50.32	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2006.0	52.465	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2007.0	51.238	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2008.0	49.905	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2009.0	45.956	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2010.0	45.61	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2011.0	49.776	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2012.0	44.57	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2013.0	45.374	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2014.0	38.045	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2015.0	44.46	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2016.0	45.474	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
EN_ATM_CO2	Carbon dioxide emissions from fuel combustion (millions of tonnes)	688	Serbia	2017.0	46.13	Float						IEA (2019), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics		['']	E	TONNES_M	G
