series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2000.0	0.484	Float						Communication and Information Agency of Uzbekistan.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2001.0	0.598	Float						Communication and Information Agency of Uzbekistan.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2002.0	1.082	Float						Communication and Information Agency of Uzbekistan.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2003.0	1.913	Float						Communication and Information Agency of Uzbekistan.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2004.0	2.594	Float						Communication and Information Agency of Uzbekistan.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2005.0	3.344	Float						Communication and Information Agency of Uzbekistan.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2006.0	6.388	Float						Communication and Information Agency of Uzbekistan.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2007.0	7.491	Float						Communication and Information Agency of Uzbekistan.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2008.0	9.080	Float						Communication and Information Agency of Uzbekistan.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2009.0	11.900	Float						Communication and Information Agency of Uzbekistan.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2010.0	15.900	Float						ITU estimate.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2011.0	18.600	Float						Communication and Information Agency of Uzbekistan.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2012.0	23.600	Float						ITU estimate.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2013.0	26.800	Float						ITU estimate.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2014.0	35.500	Float						ITU estimate.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2015.0	42.800	Float						ITU estimate.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2016.0	46.791	Float						ITU Estimate.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2017.0	52.305	Float						ITU estimate.		['']	NA	PER_100_POP	G
IT_USE_ii99	Internet users per 100 inhabitants	860	Uzbekistan	2018.0	55.200	Float						The State Committee of the Republic of Uzbekistan on Statistics		['']	NA	PER_100_POP	G
