series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type
ST_EEV_ACCTSA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)	756	Switzerland	2008.0	6	Float						Swiss Federal Statistical Office - https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html		['TSA Tables for 2017 are going to be published in 2021, https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html']	C	NUMBER	G
ST_EEV_ACCTSA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)	756	Switzerland	2009.0	0	Float						Swiss Federal Statistical Office - https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html		['TSA Tables for 2017 are going to be published in 2021, https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html']	C	NUMBER	G
ST_EEV_ACCTSA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)	756	Switzerland	2010.0	0	Float						Swiss Federal Statistical Office - https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html		['TSA Tables for 2017 are going to be published in 2021, https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html']	C	NUMBER	G
ST_EEV_ACCTSA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)	756	Switzerland	2011.0	6	Float						Swiss Federal Statistical Office - https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html		['TSA Tables for 2017 are going to be published in 2021, https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html']	C	NUMBER	G
ST_EEV_ACCTSA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)	756	Switzerland	2012.0	0	Float						Swiss Federal Statistical Office - https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html		['TSA Tables for 2017 are going to be published in 2021, https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html']	C	NUMBER	G
ST_EEV_ACCTSA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)	756	Switzerland	2013.0	0	Float						Swiss Federal Statistical Office - https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html		['TSA Tables for 2017 are going to be published in 2021, https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html']	C	NUMBER	G
ST_EEV_ACCTSA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)	756	Switzerland	2014.0	6	Float						Swiss Federal Statistical Office - https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html		['TSA Tables for 2017 are going to be published in 2021, https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html']	C	NUMBER	G
ST_EEV_ACCTSA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)	756	Switzerland	2015.0	0	Float						Swiss Federal Statistical Office - https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html		['TSA Tables for 2017 are going to be published in 2021, https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html']	C	NUMBER	G
ST_EEV_ACCTSA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)	756	Switzerland	2016.0	0	Float						Swiss Federal Statistical Office - https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html		['TSA Tables for 2017 are going to be published in 2021, https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html']	C	NUMBER	G
ST_EEV_ACCTSA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)	756	Switzerland	2017.0	0	Float						Swiss Federal Statistical Office - https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html		['TSA Tables for 2017 are going to be published in 2021, https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html']	C	NUMBER	G
ST_EEV_ACCTSA	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)	756	Switzerland	2018.0	0	Float						Swiss Federal Statistical Office - https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html		['TSA Tables for 2017 are going to be published in 2021, https://www.bfs.admin.ch/bfs/en/home/statistics/tourism/monetary-aspects/satellite-accounts.html']	C	NUMBER	G
