series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	208	Denmark	2008.0	9	Float						VisitDenmark (TSA tables); Geography, Environment and Energy - Environmental Economic Accounts (www.statbank-dk; SEEA tables)		['']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	208	Denmark	2009.0	2	Float						VisitDenmark (TSA tables); Geography, Environment and Energy - Environmental Economic Accounts (www.statbank-dk; SEEA tables)		['']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	208	Denmark	2010.0	9	Float						VisitDenmark (TSA tables); Geography, Environment and Energy - Environmental Economic Accounts (www.statbank-dk; SEEA tables)		['']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	208	Denmark	2011.0	11	Float						VisitDenmark (TSA tables); Geography, Environment and Energy - Environmental Economic Accounts (www.statbank-dk; SEEA tables)		['']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	208	Denmark	2012.0	11	Float						VisitDenmark (TSA tables); Geography, Environment and Energy - Environmental Economic Accounts (www.statbank-dk; SEEA tables)		['']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	208	Denmark	2013.0	11	Float						VisitDenmark (TSA tables); Geography, Environment and Energy - Environmental Economic Accounts (www.statbank-dk; SEEA tables)		['']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	208	Denmark	2014.0	11	Float						VisitDenmark (TSA tables); Geography, Environment and Energy - Environmental Economic Accounts (www.statbank-dk; SEEA tables)		['']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	208	Denmark	2015.0	11	Float						VisitDenmark (TSA tables); Geography, Environment and Energy - Environmental Economic Accounts (www.statbank-dk; SEEA tables)		['']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	208	Denmark	2016.0	10	Float						VisitDenmark (TSA tables); Geography, Environment and Energy - Environmental Economic Accounts (www.statbank-dk; SEEA tables)		['']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	208	Denmark	2017.0	9	Float						VisitDenmark (TSA tables); Geography, Environment and Energy - Environmental Economic Accounts (www.statbank-dk; SEEA tables)		['']	C	NUMBER	G
ST_EEV_STDACCT	Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)	208	Denmark	2018.0	2	Float						VisitDenmark (TSA tables); Geography, Environment and Energy - Environmental Economic Accounts (www.statbank-dk; SEEA tables)		['']	C	NUMBER	G
