series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type
ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	826	United Kingdom of Great Britain and Northern Ireland	2008.0	3.4	Float						Tourism Satellite Account, via cooperation UNWTO - OECD.		['The data correspond to Tourism GVA (direct) as a percentage of total GVA']	C	PERCENT	G
ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	826	United Kingdom of Great Britain and Northern Ireland	2009.0	3.5	Float						Tourism Satellite Account, via cooperation UNWTO - OECD.		['The data correspond to Tourism GVA (direct) as a percentage of total GVA']	C	PERCENT	G
ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	826	United Kingdom of Great Britain and Northern Ireland	2010.0	3.4	Float						Tourism Satellite Account, via cooperation UNWTO - OECD.		['The data correspond to Tourism GVA (direct) as a percentage of total GVA']	C	PERCENT	G
ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	826	United Kingdom of Great Britain and Northern Ireland	2011.0	3.6	Float						Tourism Satellite Account, via cooperation UNWTO - OECD.		['The data correspond to Tourism GVA (direct) as a percentage of total GVA']	C	PERCENT	G
ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	826	United Kingdom of Great Britain and Northern Ireland	2012.0	3.7	Float						Tourism Satellite Account, via cooperation UNWTO - OECD.		['The data correspond to Tourism GVA (direct) as a percentage of total GVA']	C	PERCENT	G
ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	826	United Kingdom of Great Britain and Northern Ireland	2013.0	3.7	Float						Tourism Satellite Account, via cooperation UNWTO - OECD.		['The data correspond to Tourism GVA (direct) as a percentage of total GVA']	C	PERCENT	G
ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	826	United Kingdom of Great Britain and Northern Ireland	2014.0	3.6	Float						Tourism Satellite Account, via cooperation UNWTO - OECD.		['The data correspond to Tourism GVA (direct) as a percentage of total GVA. Break in series.']	C	PERCENT	G
ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	826	United Kingdom of Great Britain and Northern Ireland	2015.0	4	Float						Tourism Satellite Account, via cooperation UNWTO - OECD.		['The data correspond to Tourism GVA (direct) as a percentage of total GVA. Break in series.']	C	PERCENT	G
ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	826	United Kingdom of Great Britain and Northern Ireland	2016.0	3.8	Float						Tourism Satellite Account, via cooperation UNWTO - OECD.		['The data correspond to Tourism GVA (direct) as a percentage of total GVA. Break in series.']	C	PERCENT	G
ST_GDP_ZS	Tourism direct GDP as a proportion of total GDP (%)	826	United Kingdom of Great Britain and Northern Ireland	2017.0	3.2	Float						Tourism Satellite Account, via cooperation UNWTO - OECD.		['The data correspond to Tourism GVA (direct) as a percentage of total GVA. Break in series.']	C	PERCENT	G
