series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Observation Status	Reporting Type
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2001.0	3.143	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2002.0	3.24896	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2003.0	2.94933	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2004.0	2.9673	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2005.0	3.38008	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2006.0	2.38862	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2007.0	2.84906	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2008.0	1.71811	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2009.0	1.82902	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2010.0	1.60347	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2011.0	1.93023	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2012.0	2.13998	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2013.0	1.13422	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2014.0	0.85979	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
AG_XPD_AGSGB	Agriculture share of Government Expenditure (%)	780	Trinidad and Tobago	2015.0	1.05997	Float						Combined IMF and FAO Questionaire. UNSD national account estimates.		['Central Government']	C	PERCENT	A	G
