series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2004.0	4.00	Float						UNSTATS / Environment Live 		['Data refer to Dodoma and Mbeya only.']	C	TONNES	G
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2005.0	5.40	Float						UNSTATS / Environment Live 		['Data refer to Dodoma and Mbeya only.']	C	TONNES	G
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2006.0	5.52	Float						UNSTATS / Environment Live 		['Data refer to Dodoma and Mbeya only.']	C	TONNES	G
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2007.0	6.45	Float						UNSTATS / Environment Live 		['Data refer to Dodoma and Mbeya only.']	C	TONNES	G
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2008.0	32.97	Float						UNSTATS / Environment Live 		['Data refer to Dodoma and Mbeya only.']	C	TONNES	G
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2009.0	35.56	Float						UNSTATS / Environment Live 		['Data refer to Dodoma and Mbeya only.']	C	TONNES	G
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2010.0	44.03	Float						UNSTATS / Environment Live 		['Data refer to Dodoma and Mbeya only.']	C	TONNES	G
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2011.0	46.17	Float						UNSTATS / Environment Live 		['Data refer to Dodoma and Mbeya only.']	C	TONNES	G
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2012.0	49.13	Float						UNSTATS / Environment Live 		['Data refer to Dodoma and Mbeya only.']	C	TONNES	G
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2013.0	53.10	Float						UNSTATS / Environment Live 		['Data refer to Dodoma, Mbeya and Songea only.']	C	TONNES	G
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2014.0	54.68	Float						UNSTATS / Environment Live 		['Data refer to Dodoma, Mbeya and Songea only.']	C	TONNES	G
EN_HAZ_TRTDISV	Hazardous waste treated or disposed (Tonnes)	834	United Republic of Tanzania	2015.0	53.35	Float						UNSTATS / Environment Live 		['Data refer to Dodoma, Mbeya and Songea only.']	C	TONNES	G
