series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2000.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 31 local breeds, 58% are of unknown status']	E	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2001.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 31 local breeds, 58% are of unknown status']	E	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2002.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 31 local breeds, 84% are of unknown status']	E	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2003.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 31 local breeds, 84% are of unknown status']	E	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2004.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 31 local breeds, 84% are of unknown status']	E	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2005.0	NaN	String						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2006.0	NaN	String						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2007.0	NaN	String						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2008.0	NaN	String						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2009.0	NaN	String						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 31 local breeds, 100% are of unknown status']	NA	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2010.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 35 local breeds, 97% are of unknown status']	C	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2011.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 35 local breeds, 97% are of unknown status']	E	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2012.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 35 local breeds, 97% are of unknown status']	E	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2013.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 35 local breeds, 97% are of unknown status']	E	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2014.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 35 local breeds, 97% are of unknown status']	E	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2015.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 35 local breeds, 97% are of unknown status']	E	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2016.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 39 local breeds, 62% are of unknown status']	C	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2017.0	0	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 39 local breeds, 62% are of unknown status']	C	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2018.0	16	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 49 local breeds, 35% are of unknown status']	C	PERCENT	G
ER_RSK_LBREDS	Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%)	729	Sudan	2019.0	16	Float						DAD-IS 2020 http://www.fao.org/dad-is/		['Out of 49 local breeds, 35% are of unknown status']	E	PERCENT	G
