series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Reporting Type
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2013.0	73.32293	Float						National Statistical Office		['']	NA	PERCENT	BOTHSEX	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2013.0	73.20996	Float						National Statistical Office		['']	NA	PERCENT	MALE	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2013.0	73.43101	Float						National Statistical Office		['']	NA	PERCENT	FEMALE	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2014.0	77.24776	Float						National Statistical Office		['']	NA	PERCENT	MALE	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2014.0	77.09309	Float						National Statistical Office		['']	NA	PERCENT	FEMALE	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2014.0	77.16835	Float						National Statistical Office		['']	NA	PERCENT	BOTHSEX	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2015.0	79.52268	Float						National Statistical Office		['']	NA	PERCENT	MALE	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2015.0	79.28699	Float						National Statistical Office		['']	NA	PERCENT	BOTHSEX	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2015.0	79.0634	Float						National Statistical Office		['']	NA	PERCENT	FEMALE	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2016.0	81.65896	Float						ITU		['']	NA	PERCENT	MALE	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2016.0	81.3976	Float						ITU		['']	NA	PERCENT	BOTHSEX	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2016.0	81.14992	Float						ITU		['']	NA	PERCENT	FEMALE	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2017.0	88.41012	Float						ITU		['']	NA	PERCENT	MALE	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2017.0	88.14571	Float						ITU		['']	NA	PERCENT	BOTHSEX	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2017.0	87.89539	Float						ITU		['']	NA	PERCENT	FEMALE	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2018.0	80.77118	Float						National Statistical Office of Thailand		['']	NA	PERCENT	BOTHSEX	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2018.0	80.83572	Float						National Statistical Office of Thailand		['']	NA	PERCENT	MALE	G
IT_MOB_OWN	Proportion of individuals who own a mobile telephone, by sex (%)	764	Thailand	2018.0	80.71015	Float						National Statistical Office of Thailand		['']	NA	PERCENT	FEMALE	G
