series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Type of speed	Reporting Type
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2009.0	9297	Float						Gibtelecom.		['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2010.0	10433	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2011.0	11284	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2012.0	11979	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2014.0	13000	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2015.0	37	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	256KT2MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2015.0	6735	Float						Gibraltar Regulatory Authority		['4 & 8mbps speeds']	NA	NUMBER	2MT10MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2015.0	8805	Float						Gibraltar Regulatory Authority		['10,20,50,100,200 & 300mbps speeds']	NA	NUMBER	10MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2015.0	15577	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2016.0	1165	Float						Gibraltar Regulatory Authority		['Many lower speed packages discontinued']	NA	NUMBER	2MT10MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2016.0	15239	Float						Gibraltar Regulatory Authority		['10,20,25,50,100,200, 300mbps speeds']	NA	NUMBER	10MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2016.0	16404	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2016.0	0	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	256KT2MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2017.0	17373	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2017.0	0	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	256KT2MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2017.0	0	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	2MT10MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2017.0	16544	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	10MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2018.0	0	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	256KT2MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2018.0	0	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	2MT10MBPS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2018.0	19232	Float						Gibraltar Regulatory Authority		['']	NA	NUMBER	ANYS	G
IT_NET_BBN	Number of fixed Internet broadband subscriptions, by speed (number)	292	Gibraltar	2018.0	19232	Float						Gibraltar Regulatory Authority		['10,20,25,50,100,200, 300 & 500mbps speeds']	NA	NUMBER	10MBPS	G
