series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Reporting Type
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	646	Rwanda	2000.0	223.17238	Float			434.46775	98.47028		World Malaria Report		['']	M	PER_1000_POP	G
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	646	Rwanda	2005.0	154.61176	Float			261.48252	37.11253		World Malaria Report		['']	E	PER_1000_POP	G
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	646	Rwanda	2010.0	126.3149	Float			174.39901	84.8867		World Malaria Report		['']	CA	PER_1000_POP	G
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	646	Rwanda	2011.0	39.28621	Float			49.96558	29.23217		World Malaria Report		['']	CA	PER_1000_POP	G
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	646	Rwanda	2012.0	71.4577	Float			86.84456	56.38139		World Malaria Report		['']	CA	PER_1000_POP	G
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	646	Rwanda	2013.0	121.44979	Float			143.39102	101.27497		World Malaria Report		['']	CA	PER_1000_POP	G
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	646	Rwanda	2014.0	219.80608	Float			276.91947	164.83255		World Malaria Report		['']	CA	PER_1000_POP	G
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	646	Rwanda	2015.0	341.96283	Float			431.57293	254.37051		World Malaria Report		['']	CA	PER_1000_POP	G
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	646	Rwanda	2016.0	585.53733	Float			746.19191	431.5214		World Malaria Report		['']	CA	PER_1000_POP	G
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	646	Rwanda	2017.0	538.33925	Float			689.99492	392.76213		World Malaria Report		['']	CA	PER_1000_POP	G
SH_STA_MALR	Malaria incidence per 1,000 population at risk (per 1,000 population)	646	Rwanda	2018.0	486.48733	Float			624.11697	355.1193		World Malaria Report		['']	CA	PER_1000_POP	G
