series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Location	Sex	Age	Reporting Type
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	604	Peru	2010.0	21.92513	Float						Instituto Nacional de Estadística e Informática based on National Survey of Time Use 2010		['']	C	PERCENT	ALLAREA	FEMALE	55-64	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	604	Peru	2010.0	11.258	Float						Instituto Nacional de Estadística e Informática based on National Survey of Time Use 2010		['']	C	PERCENT	RURAL	MALE	65+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	604	Peru	2010.0	17.70146	Float						Instituto Nacional de Estadística e Informática based on National Survey of Time Use 2010		['']	C	PERCENT	ALLAREA	FEMALE	12+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	604	Peru	2010.0	17.39751	Float						Instituto Nacional de Estadística e Informática based on National Survey of Time Use 2010		['']	C	PERCENT	URBAN	FEMALE	65+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	604	Peru	2010.0	6.46563	Float						Instituto Nacional de Estadística e Informática based on National Survey of Time Use 2010		['']	C	PERCENT	URBAN	MALE	15+	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	604	Peru	2010.0	5.72691	Float						Instituto Nacional de Estadística e Informática based on National Survey of Time Use 2010		['']	C	PERCENT	URBAN	MALE	15-24	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	604	Peru	2010.0	6.10823	Float						Instituto Nacional de Estadística e Informática based on National Survey of Time Use 2010		['']	C	PERCENT	URBAN	MALE	25-44	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	604	Peru	2010.0	6.96222	Float						Instituto Nacional de Estadística e Informática based on National Survey of Time Use 2010		['']	C	PERCENT	URBAN	MALE	45-54	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	604	Peru	2010.0	7.95779	Float						Instituto Nacional de Estadística e Informática based on National Survey of Time Use 2010		['']	C	PERCENT	URBAN	MALE	55-64	G
SL_DOM_TSPDDC	Proportion of time spent on unpaid domestic chores, by sex, age and location (%)	604	Peru	2010.0	8.81652	Float						Instituto Nacional de Estadística e Informática based on National Survey of Time Use 2010		['']	C	PERCENT	URBAN	MALE	65+	G
