series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Age	Sex	Reporting Type
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2000.0	11.76	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15-24	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2000.0	3.75	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	25+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2000.0	4.73	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2000.0	3.16	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	25+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2000.0	8.25	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2000.0	3.81	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2000.0	3.04	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2000.0	5.48	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15-24	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2000.0	2.67	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	25+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2001.0	2.34	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	25+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2001.0	4.95	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2001.0	12	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15-24	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2001.0	3.96	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	25+	FEMALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2001.0	3.83	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2001.0	2.89	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2001.0	6.55	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15-24	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2001.0	8.96	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2001.0	3.08	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	25+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2002.0	10.46	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15-24	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2002.0	4.5	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2002.0	3.67	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	25+	BOTHSEX	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2002.0	3.81	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15+	MALE	G
SL_TLF_UEM	Unemployment rate, by sex and age (%)	620	Portugal	2002.0	9.18	Float						LFS - EU Labour Force Survey		['Repository: Eurostat special tabulation']	C	PERCENT	15-24	MALE	G
