series	seriesDescription	geoAreaCode	geoAreaName	timePeriodStart	value	valueType	time_detail	timeCoverage	upperBound	lowerBound	basePeriod	source	geoInfoUrl	footnotes	Nature	Units	Sex	Reporting Type	Disability status	Grounds of discrimination
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	498	Republic of Moldova	2018.0	3.0	Float						National Statistical Office - Survey on the Assessment of the attitude of the general population towards elderly people		['Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. ']	C	PERCENT	BOTHSEX	G	_T	RELIGION
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	498	Republic of Moldova	2018.0	26.0	Float						National Statistical Office - Survey on the Assessment of the attitude of the general population towards elderly people		['Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. ']	C	PERCENT	BOTHSEX	G	_T	OTHER
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	498	Republic of Moldova	2018.0	23.0	Float						National Statistical Office - Survey on the Assessment of the attitude of the general population towards elderly people		['Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. ']	C	PERCENT	BOTHSEX	G	_T	SOCIOECON
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	498	Republic of Moldova	2018.0	13.0	Float						National Statistical Office - Survey on the Assessment of the attitude of the general population towards elderly people		['Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. ']	C	PERCENT	BOTHSEX	G	_T	ETHCOLLAN
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	498	Republic of Moldova	2018.0	8.0	Float						National Statistical Office - Survey on the Assessment of the attitude of the general population towards elderly people		['Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. ']	C	PERCENT	BOTHSEX	G	_T	DISHEA
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	498	Republic of Moldova	2018.0	18.0	Float						National Statistical Office - Survey on the Assessment of the attitude of the general population towards elderly people		['Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. ']	C	PERCENT	BOTHSEX	G	_T	AGE
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	498	Republic of Moldova	2018.0	17.0	Float						National Statistical Office - Survey on the Assessment of the attitude of the general population towards elderly people		['Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. ']	C	PERCENT	BOTHSEX	G	_T	SEX
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	498	Republic of Moldova	2018.0	26.6	Float						National Statistical Office - Survey on the Assessment of the attitude of the general population towards elderly people		['Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. ']	C	PERCENT	MALE	G	_T	ALL
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	498	Republic of Moldova	2018.0	26.0	Float						National Statistical Office - Survey on the Assessment of the attitude of the general population towards elderly people		['Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. ']	C	PERCENT	FEMALE	G	_T	ALL
VC_VOV_GDSD	Proportion of population reporting having felt discriminated against, by grounds of discrimination, sex and disability (%)	498	Republic of Moldova	2018.0	26.3	Float						National Statistical Office - Survey on the Assessment of the attitude of the general population towards elderly people		['Time period: refers only to occurrences in the last 12 months. Age: 15-49 years. ']	C	PERCENT	BOTHSEX	G	_T	ALL
